Sample,Lane,Read,Raw_Reads,Trimmed_Reads,Adapter_Content,GC_Content,Duplicate_Level,Total_Reads_FastQC,Mapped_Reads,Properly_Paired_Reads,Peaks_Called,Differential_Peaks,BigWig_File
MLH1KO-1,001,R1,54118881,54118881,fail,fail,27.894248602403927,54118881,49424878,48934500,2816439,288,./6_bigwig/MLH1KO-1.bw
MLH1KO-1,001,R2,54118881,54118881,fail,warn,26.36548619616533,54118881,49424878,48934500,2816439,288,./6_bigwig/MLH1KO-1.bw
MLH1KO-1,002,R1,43850498,43850498,fail,fail,29.235662370286935,43850498,49424878,48934500,2816439,288,./6_bigwig/MLH1KO-1.bw
MLH1KO-1,002,R2,43850498,43850498,fail,warn,27.575037467687537,43850498,49424878,48934500,2816439,288,./6_bigwig/MLH1KO-1.bw
MLH1KO-2,001,R1,61434222,61434222,fail,warn,29.784796268179925,61434222,70538994,69836992,1153342,288,./6_bigwig/MLH1KO-2.bw
MLH1KO-2,001,R2,61434222,61434222,fail,warn,29.713087744171553,61434222,70538994,69836992,1153342,288,./6_bigwig/MLH1KO-2.bw
MLH1KO-2,002,R1,50564145,50564145,fail,warn,30.589230951617107,50564145,70538994,69836992,1153342,288,./6_bigwig/MLH1KO-2.bw
MLH1KO-2,002,R2,50564145,50564145,fail,warn,31.2508729265613,50564145,70538994,69836992,1153342,288,./6_bigwig/MLH1KO-2.bw
MLH1KO-3,001,R1,61704439,61704439,fail,fail,32.510567593042076,61704439,96127048,95056964,1598727,288,./6_bigwig/MLH1KO-3.bw
MLH1KO-3,001,R2,61704439,61704439,fail,fail,32.64354066393579,61704439,96127048,95056964,1598727,288,./6_bigwig/MLH1KO-3.bw
MLH1KO-3,002,R1,50538688,50538688,fail,fail,33.858408407967445,50538688,96127048,95056964,1598727,288,./6_bigwig/MLH1KO-3.bw
MLH1KO-3,002,R2,50538688,50538688,fail,fail,34.71619576205951,50538688,96127048,95056964,1598727,288,./6_bigwig/MLH1KO-3.bw
MLH1R4-1,001,R1,66025786,66025786,fail,warn,31.743523314445955,66025786,93904526,92818526,1556803,1221,./6_bigwig/MLH1R4-1.bw
MLH1R4-1,001,R2,66025786,66025786,fail,warn,31.973145724570685,66025786,93904526,92818526,1556803,1221,./6_bigwig/MLH1R4-1.bw
MLH1R4-1,002,R1,54195158,54195158,fail,warn,32.79069624113429,54195158,93904526,92818526,1556803,1221,./6_bigwig/MLH1R4-1.bw
MLH1R4-1,002,R2,54195158,54195158,fail,warn,34.01981779430249,54195158,93904526,92818526,1556803,1221,./6_bigwig/MLH1R4-1.bw
MLH1R4-2,001,R1,67038144,67038144,fail,fail,27.742168444386976,67038144,78068820,77283416,1204156,1221,./6_bigwig/MLH1R4-2.bw
MLH1R4-2,001,R2,67038144,67038144,fail,warn,26.070704796044442,67038144,78068820,77283416,1204156,1221,./6_bigwig/MLH1R4-2.bw
MLH1R4-2,002,R1,55015562,55015562,fail,warn,28.694451945068806,55015562,78068820,77283416,1204156,1221,./6_bigwig/MLH1R4-2.bw
MLH1R4-2,002,R2,55015562,55015562,fail,warn,27.518636217014414,55015562,78068820,77283416,1204156,1221,./6_bigwig/MLH1R4-2.bw
MLH1R4-3,001,R1,62402447,62402447,fail,fail,29.833729219068157,62402447,85746142,84714640,1508141,1221,./6_bigwig/MLH1R4-3.bw
MLH1R4-3,001,R2,62402447,62402447,fail,fail,29.82921229224177,62402447,85746142,84714640,1508141,1221,./6_bigwig/MLH1R4-3.bw
MLH1R4-3,002,R1,51337804,51337804,fail,fail,30.652892829674638,51337804,85746142,84714640,1508141,1221,./6_bigwig/MLH1R4-3.bw
MLH1R4-3,002,R2,51337804,51337804,fail,fail,31.507297967603336,51337804,85746142,84714640,1508141,1221,./6_bigwig/MLH1R4-3.bw
