.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
231-MLH1KO-1_S13_L002_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	1	0.25
231-MLH1KO-1_S13_L002_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
231-MLH1KO-1_S1_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	1	0.25
231-MLH1KO-1_S1_L001_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
231-MLH1KO-2_S14_L002_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
231-MLH1KO-2_S14_L002_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25
231-MLH1KO-2_S2_L001_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
231-MLH1KO-2_S2_L001_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
231-MLH1KO-3_S15_L002_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	1	0.25
231-MLH1KO-3_S15_L002_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
231-MLH1KO-3_S3_L001_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	1	0.25
231-MLH1KO-3_S3_L001_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	0.25
231-MLH1R4-1_S4_L001_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
231-MLH1R4-1_S4_L001_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
231-MSH2R4-1_S22_L002_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
231-MSH2R4-1_S22_L002_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25
231-MSH2R4-2_S11_L001_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
231-MSH2R4-2_S11_L001_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
231-MSH2R4-2_S23_L002_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
231-MSH2R4-2_S23_L002_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25
231-MSH2R4-3_S12_L001_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	1	0.25
231-MSH2R4-3_S12_L001_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	0.25
231-MSH2R4-3_S24_L002_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	1	0.25
231-MSH2R4-3_S24_L002_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25
