Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
231-MLH1KO-1_S13_L002_R1_001 - nextera_transposase_sequence	(1, 0.0033500189667173223)	(2, 0.0034229941926771277)	(3, 0.0034275551442996153)	(4, 0.0034914084670144454)	(5, 0.003498249894448177)	(6, 0.003498249894448177)	(7, 0.0035119327493156405)	(8, 0.003518774176749372)	(9, 0.0035461398864842994)	(10, 0.0035844518801131974)	(15, 0.00367339043675171)	(20, 0.00437896965275058)	(25, 0.020068643234108768)	(30, 0.12940058286225165)	(35, 0.7407633090050654)	(40, 3.6700080350284736)	(45, 9.575780872545621)	(50, 16.12009605911431)	(55, 23.42826756494305)	(60, 30.30898896518803)	(65, 37.14202561621991)	(70, 43.36818934188615)	(75, 49.21813567544889)	(80, 54.452737116007214)	(85, 59.2035565935876)	(90, 63.43866197369069)	(95, 67.2254408604436)	(100, 70.56289121277482)	(105, 73.50041999523015)	(110, 76.10269329210355)	(115, 78.36573440967535)	(120, 80.37368150300141)	(125, 82.11341909959609)	(130, 83.65252271479334)	(135, 84.9863839630738)	(140, 85.72483715008208)
231-MLH1KO-1_S13_L002_R1_001 - polya	(1, 2.5085233923683146e-05)	(2, 4.5609516224878447e-05)	(3, 5.929237109234198e-05)	(4, 0.00010946283893970827)	(5, 0.0002531328150480754)	(6, 0.00041960754926888174)	(7, 0.00046293658968251625)	(8, 0.00052907038820859)	(9, 0.0006522160820157619)	(10, 0.002937252844882172)	(15, 0.014293110194552408)	(20, 0.02640152456193314)	(25, 0.03783491808918567)	(30, 0.04886238692203678)	(35, 0.06297807609847442)	(40, 0.07415286366873189)	(45, 0.08141891569851727)	(50, 0.08725100453819248)	(55, 0.09302699367291108)	(60, 0.0968321956115527)	(65, 0.10071356544228985)	(70, 0.10410052811714934)	(75, 0.10676321167435773)	(80, 0.10931597629746417)	(85, 0.11145643089389771)	(90, 0.11314489518454271)	(95, 0.11479550357672105)	(100, 0.11661577936925598)	(105, 0.11824540738397087)	(110, 0.11987959635030827)	(115, 0.12142849552130515)	(120, 0.12284831976138562)	(125, 0.12469276859751968)	(130, 0.1262393872927053)	(135, 0.12736138139183734)	(140, 0.12811028964824983)
231-MLH1KO-1_S13_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 3.192666135741492e-05)	(4, 9.121903244975689e-05)	(5, 0.0001733161616545381)	(6, 0.00021664520206817264)	(7, 0.0002576937666705632)	(8, 0.00027137662153802676)	(9, 0.0002919009038392221)	(10, 0.00040866126537491084)	(15, 0.0006399015126350447)	(20, 0.0008734222357064224)	(25, 0.0011429744765954538)	(30, 0.0013869853883985536)	(35, 0.0016392060131221315)	(40, 0.001871358450706763)	(45, 0.0030216304498981972)	(50, 0.0038936844001178734)	(55, 0.004203373015284798)	(60, 0.004593790474169758)	(65, 0.005561168313299429)	(70, 0.010478330257503577)	(75, 0.06091561377478542)	(80, 0.36561226739089714)	(85, 2.3710549421810443)	(90, 7.3242306164915165)	(95, 13.454934992984573)	(100, 20.51569266100467)	(105, 27.62290179691916)	(110, 32.40758816467717)	(115, 33.24590794841144)	(120, 33.49136696235469)	(125, 33.782935372820624)	(130, 34.151457527346665)	(135, 35.097667989996374)	(140, 36.8187015800824)
231-MLH1KO-1_S13_L002_R2_001 - nextera_transposase_sequence	(1, 0.0032724827891350288)	(2, 0.003345458015094834)	(3, 0.003352299442528566)	(4, 0.0034207137168658836)	(5, 0.0034252746684883717)	(6, 0.0034252746684883717)	(7, 0.0034435184749783227)	(8, 0.003450359902412055)	(9, 0.0034777256121469816)	(10, 0.0035329131267790846)	(15, 0.0036866171964569255)	(20, 0.004409528028621249)	(25, 0.020325424810454833)	(30, 0.13140603329065953)	(35, 0.752415172115035)	(40, 3.7241907720181424)	(45, 9.709577300581625)	(50, 16.33757819580521)	(55, 23.736108994702864)	(60, 30.707496183965798)	(65, 37.638562280410135)	(70, 43.96375429989416)	(75, 49.91734780298276)	(80, 55.25131231120796)	(85, 60.08939738837173)	(90, 64.40043075451504)	(95, 68.25934519603405)	(100, 71.67032036899558)	(105, 74.66959531451616)	(110, 77.3238237796068)	(115, 79.63046850687991)	(120, 81.67072310102385)	(125, 83.44009091983403)	(130, 85.00192905448873)	(135, 86.35334221289801)	(140, 87.09766762512024)
231-MLH1KO-1_S13_L002_R2_001 - polya	(1, 2.964618554617099e-05)	(2, 3.876808879114668e-05)	(3, 7.525570177104944e-05)	(4, 0.00011174331475095221)	(5, 0.00028277900059424637)	(6, 0.0004492537348150527)	(7, 0.0005062656300961508)	(8, 0.0006088870416021272)	(9, 0.0007160694047305917)	(10, 0.002873855617329591)	(15, 0.014044082235964572)	(20, 0.025903468644757465)	(25, 0.036888976722681696)	(30, 0.047680188261487934)	(35, 0.06099679871366569)	(40, 0.07120284015930675)	(45, 0.07803970664141602)	(50, 0.08354796791589458)	(55, 0.08936546171037783)	(60, 0.09308446166335442)	(65, 0.09678841047597682)	(70, 0.10004721041024438)	(75, 0.10256303132520865)	(80, 0.10495160168990555)	(85, 0.10711394885412703)	(90, 0.10878736200441783)	(95, 0.1103932730706958)	(100, 0.11204479365319867)	(105, 0.11358000996932807)	(110, 0.1152557035954301)	(115, 0.11687073656495303)	(120, 0.11830469975506322)	(125, 0.11997948119084076)	(130, 0.12157627035387375)	(135, 0.12277899329672379)	(140, 0.12356986230806319)
231-MLH1KO-1_S13_L002_R2_001 - polyg	(1, 0.10182780592366363)	(2, 0.10191902495611338)	(3, 0.10225653537617749)	(4, 0.10266017959476766)	(5, 0.10317784760392003)	(6, 0.10367499133077121)	(7, 0.10399197746853411)	(8, 0.10425423218682715)	(9, 0.1046510349779836)	(10, 0.10557918863315988)	(15, 0.10633448222184387)	(20, 0.10672946063235131)	(25, 0.10707244419436242)	(30, 0.10742409356445619)	(35, 0.10774700893932834)	(40, 0.1080056148963234)	(45, 0.10824415266617952)	(50, 0.10849910986187661)	(55, 0.10879055467055358)	(60, 0.10912122366318393)	(65, 0.10938530276212599)	(70, 0.10962156005617085)	(75, 0.11234718474576959)	(80, 0.11357955387416581)	(85, 0.11387099868284278)	(90, 0.11424727719169803)	(95, 0.11508922886120929)	(100, 0.1286279576574022)	(105, 0.23368902218624746)	(110, 0.7676679065309588)	(115, 3.445137612804306)	(120, 9.221389002241207)	(125, 15.79969924172811)	(130, 23.170705609774377)	(135, 30.243922885436792)	(140, 34.32532510805236)
231-MLH1KO-1_S1_L001_R1_001 - nextera_transposase_sequence	(1, 0.0033444889594077157)	(2, 0.0033980746941164584)	(3, 0.003399922478071932)	(4, 0.0034645949165135175)	(5, 0.003471986052335413)	(6, 0.003479377188157309)	(7, 0.0034923116758456257)	(8, 0.0034960072437565737)	(9, 0.003523724003088682)	(10, 0.0035828530896638454)	(15, 0.0036763509578108242)	(20, 0.004534831383523987)	(25, 0.019951632037624727)	(30, 0.12648413776330666)	(35, 0.7282722641659941)	(40, 3.6205109266764035)	(45, 9.461180100896765)	(50, 15.942449364390962)	(55, 23.195362446610822)	(60, 30.045070961463523)	(65, 36.86783841668862)	(70, 43.09839665753621)	(75, 48.96203896011819)	(80, 54.22118354590517)	(85, 58.99636764477816)	(90, 63.26185384357818)	(95, 67.07729489085334)	(100, 70.44623594490064)	(105, 73.42055132292924)	(110, 76.04886472061386)	(115, 78.34490591185727)	(120, 80.38404563464644)	(125, 82.15268382951228)	(130, 83.71636656715057)	(135, 85.06556445614608)	(140, 85.81108134885494)
231-MLH1KO-1_S1_L001_R1_001 - polya	(1, 3.5107895154003644e-05)	(2, 5.358573470874241e-05)	(3, 8.130249404085055e-05)	(4, 0.00011825817315032807)	(5, 0.0002919498649648724)	(6, 0.00046933712469036454)	(7, 0.0005321617791764763)	(8, 0.000626398760905644)	(9, 0.0007280268784567072)	(10, 0.0029520196472650646)	(15, 0.014556102887641007)	(20, 0.026807649626014996)	(25, 0.038306039624137825)	(30, 0.04954943543640526)	(35, 0.06356820274979448)	(40, 0.07470184019510676)	(45, 0.08200871706863268)	(50, 0.08772723885403322)	(55, 0.0938042307267957)	(60, 0.09771783714448937)	(65, 0.10159670522382014)	(70, 0.1049374986153169)	(75, 0.10768552291389766)	(80, 0.11017670524266751)	(85, 0.11244134925849632)	(90, 0.11428322030531265)	(95, 0.11592996536643099)	(100, 0.11782690037512047)	(105, 0.11954644812408446)	(110, 0.12139312340918504)	(115, 0.12309936711366962)	(120, 0.12463894070537045)	(125, 0.12646639903733412)	(130, 0.1280366458426958)	(135, 0.129296834500329)	(140, 0.13013018506424773)
231-MLH1KO-1_S1_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.847783955473876e-05)	(4, 7.391135821895505e-05)	(5, 0.0001311926608386452)	(6, 0.0001773872597254921)	(7, 0.0002161907227904435)	(8, 0.0002402119142116039)	(9, 0.0002549941858553949)	(10, 0.00037805659728995506)	(15, 0.0005757694805256598)	(20, 0.0008370461318296659)	(25, 0.0011356480190342442)	(30, 0.001379555501156796)	(35, 0.0016249412104437267)	(40, 0.001867370465401899)	(45, 0.0029638454645800976)	(50, 0.003814934754471364)	(55, 0.004119079993542365)	(60, 0.004475332740157728)	(65, 0.00549863549469916)	(70, 0.010383806716180994)	(75, 0.059412536633933734)	(80, 0.36265310068033374)	(85, 2.353211996382556)	(90, 7.2611397859464235)	(95, 13.333841473921089)	(100, 20.319503649752107)	(105, 27.372988366112008)	(110, 32.109538628487165)	(115, 32.919144799021254)	(120, 33.15127894089311)	(125, 33.43714035772469)	(130, 33.78219664224025)	(135, 34.699972824641364)	(140, 36.52285050017941)
231-MLH1KO-1_S1_L001_R2_001 - nextera_transposase_sequence	(1, 0.0032576431135004436)	(2, 0.0033186199840310815)	(3, 0.0033186199840310815)	(4, 0.003385140206428141)	(5, 0.003399922478071932)	(6, 0.0034073136138938276)	(7, 0.003418400317626671)	(8, 0.0034239436694930925)	(9, 0.0034405737250923574)	(10, 0.003517441537640071)	(15, 0.003678568298557393)	(20, 0.004557743904571863)	(25, 0.02012864974055912)	(30, 0.1273592482446191)	(35, 0.73490063477107)	(40, 3.6659168913710545)	(45, 9.58458878704458)	(50, 16.140616063366128)	(55, 23.469511500062243)	(60, 30.38903261876386)	(65, 37.284491155683725)	(70, 43.58853169931581)	(75, 49.53142545574806)	(80, 54.865867607277394)	(85, 59.708724945735675)	(90, 64.02863318626267)	(95, 67.88947724177817)	(100, 71.30137816411982)	(105, 74.3141610780903)	(110, 76.97676232440948)	(115, 79.30242570979988)	(120, 81.36494026918257)	(125, 83.15617057935842)	(130, 84.73787512347123)	(135, 86.10599986352268)	(140, 86.85889680534969)
231-MLH1KO-1_S1_L001_R2_001 - polya	(1, 4.0651247020425274e-05)	(2, 5.728130261969016e-05)	(3, 7.760692612990279e-05)	(4, 0.00012934487688317134)	(5, 0.0003085799205641373)	(6, 0.00048596718028962943)	(7, 0.0005487918347757412)	(8, 0.0006467243844158567)	(9, 0.0007483525019669198)	(10, 0.0029642150213711922)	(15, 0.014166590029827114)	(20, 0.025819454766627566)	(25, 0.036738379716313795)	(30, 0.04767393472159929)	(35, 0.06122521269425361)	(40, 0.07165299666857487)	(45, 0.07869416220930363)	(50, 0.08443374873179658)	(55, 0.0903030496879638)	(60, 0.09415863568945558)	(65, 0.09789891997212581)	(70, 0.1011536066312975)	(75, 0.10379002477896762)	(80, 0.10614594932219681)	(85, 0.10828863959696433)	(90, 0.10992318928397651)	(95, 0.11163978057861175)	(100, 0.11342473987959951)	(105, 0.11504635507892338)	(110, 0.11680581496132562)	(115, 0.1184843419064781)	(120, 0.11997328621779893)	(125, 0.12174272413356071)	(130, 0.12321282104853573)	(135, 0.12438505518988836)	(140, 0.12514671173633468)
231-MLH1KO-1_S1_L001_R2_001 - polyg	(1, 0.10990064631971973)	(2, 0.11034965782089988)	(3, 0.11096681766202815)	(4, 0.11142137251507472)	(5, 0.1119960333252271)	(6, 0.1125485207279138)	(7, 0.11286079621638888)	(8, 0.1131638327850866)	(9, 0.11349458611311641)	(10, 0.11452380177631535)	(15, 0.11537895619090868)	(20, 0.11578029486603758)	(25, 0.11613987362377283)	(30, 0.1164307148183644)	(35, 0.11670492595735674)	(40, 0.11700352784456132)	(45, 0.11731506421945419)	(50, 0.11758927535844652)	(55, 0.11788196433699358)	(60, 0.11817428375874957)	(65, 0.11845329913602612)	(70, 0.11873933609233348)	(75, 0.12147036077852387)	(80, 0.12269802843854069)	(85, 0.12299219564425215)	(90, 0.1233909474218434)	(95, 0.12439096809854586)	(100, 0.1375324075898761)	(105, 0.2395522553394997)	(110, 0.7631924244701216)	(115, 3.3894318694431247)	(120, 9.089866806373916)	(125, 15.608865600898142)	(130, 22.88349605750348)	(135, 29.904935026280384)	(140, 33.96347570453277)
231-MLH1KO-2_S14_L002_R1_001 - nextera_transposase_sequence	(1, 0.0014496438138131278)	(2, 0.00148524216121918)	(3, 0.00148524216121918)	(4, 0.0015050190208892092)	(5, 0.0015050190208892092)	(6, 0.0015050190208892092)	(7, 0.0015168851366912266)	(8, 0.0015228181945922353)	(9, 0.0015307289384602469)	(10, 0.0015544611700642817)	(15, 0.0016157694350413716)	(20, 0.002683324320029539)	(25, 0.02406922929281213)	(30, 0.1681345546335254)	(35, 0.9648125168535927)	(40, 4.720649780590575)	(45, 12.326073742569957)	(50, 20.589226615025332)	(55, 29.750489007576412)	(60, 38.13418025757185)	(65, 46.29066980169446)	(70, 53.45779306660876)	(75, 59.96423513143553)	(80, 65.5274475619038)	(85, 70.37407593859245)	(90, 74.47775612541258)	(95, 77.98781962989781)	(100, 80.92067056607009)	(105, 83.3820807214282)	(110, 85.43989738183055)	(115, 87.14050361179844)	(120, 88.56846565881811)	(125, 89.73445313868157)	(130, 90.71559461749032)	(135, 91.51521774965246)	(140, 91.95026238454146)
231-MLH1KO-2_S14_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.1754545637031934e-05)	(4, 4.746446320806967e-05)	(5, 0.00011272810011916546)	(6, 0.00016019256332723515)	(7, 0.00021556777040331642)	(8, 0.00023138925813933963)	(9, 0.0002630322336113861)	(10, 0.00038208892882496084)	(15, 0.0006538229806911598)	(20, 0.0010030823224638724)	(25, 0.0013942686067370466)	(30, 0.0017154448077783182)	(35, 0.0020140753887957566)	(40, 0.002317847953327402)	(45, 0.0031255349022513883)	(50, 0.003742968461149694)	(55, 0.004051091934808746)	(60, 0.00443555408679411)	(65, 0.005332236904233227)	(70, 0.011749432329964248)	(75, 0.08920392107885936)	(80, 0.5171929635119905)	(85, 3.1880989978175247)	(90, 9.698992438218822)	(95, 17.554686230727327)	(100, 26.456904591188085)	(105, 35.127539484747544)	(110, 40.77044000249584)	(115, 41.67986544615755)	(120, 41.92431296919982)	(125, 42.2261173406571)	(130, 42.60930507180533)	(135, 43.765838421672115)	(140, 45.98775673948408)
231-MLH1KO-2_S14_L002_R2_001 - nextera_transposase_sequence	(1, 0.0014160231523740786)	(2, 0.0014535991857471337)	(3, 0.0014535991857471337)	(4, 0.0014753537313841657)	(5, 0.0014753537313841657)	(6, 0.0014753537313841657)	(7, 0.001487219847186183)	(8, 0.0014931529050871918)	(9, 0.0014990859629882005)	(10, 0.0015327066244272497)	(15, 0.0016181426582017751)	(20, 0.002684906468803141)	(25, 0.024165740368001874)	(30, 0.16883386439145762)	(35, 0.9683355666352116)	(40, 4.734048998554213)	(45, 12.35726382795556)	(50, 20.636089070625044)	(55, 29.810052953530608)	(60, 38.207105449919105)	(65, 46.381699917995256)	(70, 53.57007539631096)	(75, 60.104060693600175)	(80, 65.69401618478865)	(85, 70.55932578312161)	(90, 74.67436382045024)	(95, 78.19248955954858)	(100, 81.13607300192658)	(105, 83.60278770658536)	(110, 85.66148245955706)	(115, 87.36268792837296)	(120, 88.78933758298494)	(125, 89.95809619642536)	(130, 90.93991048400008)	(135, 91.73866224772514)	(140, 92.17046980622337)
