Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
231-MLH1KO-1_S13_L002_R1_001	(1, 0.0)	(2, 0.07370953917102606)	(3, 0.0)	(4, 0.0)	(5, 0.002061550133364506)	(6, 0.0)	(7, 2.2804758112439222e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.001111047815238039)	(50, 0.0025076112020438173)	(55, 4.560951622487845e-07)	(60, 0.0)	(65, 2.736570973492707e-06)	(70, 0.0)	(75, 0.0)	(80, 0.0002814107151075)	(85, 8.209712920478122e-06)	(90, 0.0030426108273616413)	(95, 0.0)	(100, 0.0)	(105, 0.00022576710531314832)	(110, 0.0)	(115, 0.0010508432538211996)	(120, 0.001995872430000681)	(125, 0.0016373816324731364)	(130, 0.0)	(135, 0.0)	(140, 9.121903244975689e-06)	(145, 0.0)	(150, 0.0)
231-MLH1KO-1_S13_L002_R2_001	(1, 0.0)	(2, 0.0015940525920595018)	(3, 1.5963330678707455e-05)	(4, 5.701189528109806e-05)	(5, 6.841427433731767e-06)	(6, 0.001352322156067646)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.560951622487845e-07)	(15, 0.0)	(20, 0.00034024699103759324)	(25, 0.001908758254011163)	(30, 0.0)	(35, 0.002141822881920292)	(40, 0.0009354511777722571)	(45, 7.297522595980552e-06)	(50, 0.0)	(55, 0.0029089749448227473)	(60, 0.004692763124377743)	(65, 0.0003931540298584522)	(70, 0.0015949647823839995)	(75, 0.0)	(80, 0.0)	(85, 0.0007780983467964264)	(90, 0.00017240397133004055)	(95, 0.0)	(100, 0.0)	(105, 0.00048346087198371154)	(110, 0.0)	(115, 0.005343610920906759)	(120, 4.560951622487845e-07)	(125, 0.002080250035016706)	(130, 4.560951622487845e-07)	(135, 0.0028752239028163374)	(140, 0.0013842488174250608)	(145, 0.00012086521799592788)	(150, 2.2804758112439222e-06)
231-MLH1KO-1_S1_L001_R1_001	(1, 0.0)	(2, 0.30287581149358944)	(3, 0.0003787957108721446)	(4, 0.0008573717553398785)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 3.6955679109477525e-07)	(25, 1.8477839554738762e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.049868732503911155)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.478227164379101e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.10176559267735044)	(150, 0.0632902960428912)
231-MLH1KO-1_S1_L001_R2_001	(1, 0.22508595475209475)	(2, 0.21514672485560077)	(3, 0.0)	(4, 0.0)	(5, 0.00019032174741380922)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.76069261299028e-06)	(15, 0.00013525778554068774)	(20, 0.05050547885496746)	(25, 0.026383028873047096)	(30, 0.0)	(35, 0.09984094090932885)	(40, 0.0)	(45, 0.0005776172644811337)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.956454328758202e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.04421229625941453)	(105, 0.025089580104215383)	(110, 0.0)	(115, 0.0)	(120, 0.0011873859697875127)	(125, 0.0001341491151674034)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.12732247734390517)
231-MLH1KO-2_S14_L002_R1_001	(1, 0.0)	(2, 0.07495034277747602)	(3, 0.0)	(4, 0.0)	(5, 0.0021695215058021846)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0011640659601779087)	(50, 0.0026164785343448407)	(55, 0.0)	(60, 0.0)	(65, 2.3732231604034834e-06)	(70, 0.0)	(75, 0.0)	(80, 0.0002962573578570349)	(85, 7.515206674611031e-06)	(90, 0.0031927762251294867)	(95, 0.0)	(100, 0.0)	(105, 0.00023455355568654428)	(110, 0.0)	(115, 0.0011027576952008188)	(120, 0.0020900185299286677)	(125, 0.0016952724109148883)	(130, 0.0)	(135, 0.0)	(140, 1.0283967028415094e-05)	(145, 0.0)	(150, 0.0)
231-MLH1KO-2_S14_L002_R2_001	(1, 0.0)	(2, 0.0016612562122824384)	(3, 1.384380176902032e-05)	(4, 6.724132287809869e-05)	(5, 0.0)	(6, 0.0014041570365720612)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0003603343831879289)	(25, 0.002008537868088148)	(30, 0.0)	(35, 0.002252188779222906)	(40, 0.0009809322396334397)	(45, 7.910743868011612e-06)	(50, 0.0)	(55, 0.0030468230007646723)	(60, 0.004965178388757489)	(65, 0.0004141274414904079)	(70, 0.0016656071214098448)	(75, 0.0)	(80, 0.0)	(85, 0.0008242995110468099)	(90, 0.00018036496019066477)	(95, 0.0)	(100, 0.0)	(105, 0.0004995634752649333)	(110, 0.0)	(115, 0.005616628146288245)	(120, 0.0)	(125, 0.002184156381958006)	(130, 1.5821487736023224e-06)	(135, 0.00302467291793424)	(140, 0.0014425241443319174)	(145, 0.00012301206714758058)	(150, 0.0)
231-MLH1KO-2_S2_L001_R1_001	(1, 0.0)	(2, 0.306262525795476)	(3, 0.00041182258318498766)	(4, 0.0008187618946326039)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.3022057966323722e-06)	(25, 1.3022057966323722e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.05146642859740293)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.9299630424228375e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.10271083110648004)	(150, 0.06381622282121518)
231-MLH1KO-2_S2_L001_R2_001	(1, 0.22598316619033607)	(2, 0.21755463917163304)	(3, 0.0)	(4, 0.0)	(5, 0.00020672517021538906)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 9.76654347474279e-06)	(15, 0.00012956947676492103)	(20, 0.0496394338647277)	(25, 0.025939613917467696)	(30, 0.0)	(35, 0.1003642562609485)	(40, 0.0)	(45, 0.000591526983120255)	(50, 0.0)	(55, 0.0)	(60, 6.511028983161861e-07)	(65, 0.0)	(70, 0.0)	(75, 3.2555144915809305e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.04769328730166063)	(105, 0.024547555920867686)	(110, 0.0)	(115, 0.0)	(120, 0.0012117024937664223)	(125, 0.00014194043183292856)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.12677543145252168)
231-MLH1KO-3_S15_L002_R1_001	(1, 0.0)	(2, 0.07560346639786138)	(3, 0.0)	(4, 0.0)	(5, 0.0022161240117669853)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0011769201448205383)	(50, 0.0026221495896371506)	(55, 0.0)	(60, 0.0)	(65, 1.5829457226907039e-06)	(70, 0.0)	(75, 0.0)	(80, 0.00030669573377132387)	(85, 6.3317828907628155e-06)	(90, 0.003199529041988585)	(95, 0.0)	(100, 0.0)	(105, 0.0002453565870170591)	(110, 0.0)	(115, 0.0011155809980662736)	(120, 0.002103734865455945)	(125, 0.0016866286675269449)	(130, 0.0)	(135, 0.0)	(140, 1.2663565781525631e-05)	(145, 0.0)	(150, 0.0)
231-MLH1KO-3_S15_L002_R2_001	(1, 0.0)	(2, 0.0016917732411256899)	(3, 1.97868215336338e-05)	(4, 6.133914675426478e-05)	(5, 0.0)	(6, 0.001474118204255718)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0003684306169562613)	(25, 0.0020123197499705573)	(30, 0.0)	(35, 0.002244617034775418)	(40, 0.0009877581309589991)	(45, 8.706201474798871e-06)	(50, 0.0)	(55, 0.0030436088883035507)	(60, 0.00496451352278872)	(65, 0.00041789767079034577)	(70, 0.0016759437838987827)	(75, 0.0)	(80, 0.0)	(85, 0.0008223403029378206)	(90, 0.00019905542462835598)	(95, 0.0)	(100, 0.0)	(105, 0.0005002108483702625)	(110, 0.0)	(115, 0.005608772431923837)	(120, 0.0)	(125, 0.002161512384334156)	(130, 0.0)	(135, 0.0030159073381564633)	(140, 0.001457101537736793)	(145, 0.00013296744070601913)	(150, 0.0)
