Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
231-MLH1KO-1_S13_L002_R1_001	(1, 38.674709235913355)	(2, 38.83611146217769)	(3, 39.0052221527792)	(4, 39.00586807474798)	(5, 38.65477504953307)	(6, 38.81334373899243)	(7, 38.98412989517246)	(8, 39.04119583773028)	(9, 39.30519055906731)	(10, 39.24192618291359)	(15, 39.39669751527109)	(20, 39.477290515606)	(25, 39.26574153844273)	(30, 39.228780443953)	(35, 39.24161034613563)	(40, 39.25662806383635)	(45, 39.25772546528434)	(50, 39.24644055809811)	(55, 39.22568931372227)	(60, 39.20310640941866)	(65, 39.183042637280884)	(70, 39.157715691165016)	(75, 39.132427184749424)	(80, 39.014723955928616)	(85, 38.739991960866675)	(90, 38.30660470948357)	(95, 37.65271867151885)	(100, 36.65299708112779)	(105, 35.7728106166548)	(110, 34.7912353104861)	(115, 33.63150066847587)	(120, 32.774781914677455)	(125, 33.09730198275057)	(130, 32.5990821814612)	(135, 31.986049581466553)	(140, 31.638097993778768)	(145, 31.488435802941165)	(150, 30.694052733449002)
231-MLH1KO-1_S13_L002_R2_001	(1, 39.11625076641091)	(2, 39.38128470057512)	(3, 39.54077579689061)	(4, 39.525789695706536)	(5, 39.548565172509555)	(6, 39.596150128101165)	(7, 39.622492041025396)	(8, 39.63815142988798)	(9, 39.66242052712833)	(10, 39.67221209665623)	(15, 39.67380309341071)	(20, 39.68221660789349)	(25, 39.571803439951815)	(30, 39.548450920671414)	(35, 39.54978204352434)	(40, 39.5544050514546)	(45, 39.55488425239777)	(50, 39.553716958927126)	(55, 39.54463916920624)	(60, 39.54312173147953)	(65, 39.54161929016177)	(70, 39.536537249816405)	(75, 39.527554446474014)	(80, 39.52109905798561)	(85, 39.513080157037216)	(90, 39.50347683622658)	(95, 39.47547554876115)	(100, 39.42669414609613)	(105, 39.36811479769284)	(110, 39.228822769584056)	(115, 38.92431503058414)	(120, 38.735057640622465)	(125, 38.702409527937405)	(130, 38.6732670174008)	(135, 38.716869413888986)	(140, 38.71998869431312)	(145, 38.786647348908105)	(150, 38.59414878252922)
231-MLH1KO-1_S1_L001_R1_001	(1, 38.74321207786983)	(2, 38.84297537489735)	(3, 39.096616317695116)	(4, 39.09820404453669)	(5, 38.78665222216993)	(6, 38.941659344360794)	(7, 39.09559024326464)	(8, 39.144845363672616)	(9, 39.359780554221)	(10, 39.32906348156016)	(15, 39.457883735622694)	(20, 39.52648884222126)	(25, 39.33048329657814)	(30, 39.2998398618035)	(35, 39.31387299748492)	(40, 39.32535268790942)	(45, 39.314859551512164)	(50, 39.32510883955639)	(55, 39.30903415390277)	(60, 39.284942628433136)	(65, 39.27386788355805)	(70, 39.25317351628168)	(75, 39.227925041539564)	(80, 39.11855224057571)	(85, 38.85340232367332)	(90, 38.42827344489994)	(95, 37.779898161604635)	(100, 36.776952664634734)	(105, 35.89865444557141)	(110, 34.916165587385294)	(115, 33.771835733262854)	(120, 32.96490918945645)	(125, 33.367364857377595)	(130, 32.910049799440614)	(135, 32.287513808720476)	(140, 31.984664664444928)	(145, 31.8143947137414)	(150, 31.002599665724794)
231-MLH1KO-1_S1_L001_R2_001	(1, 39.031590102537415)	(2, 39.298432389982345)	(3, 39.54296564261926)	(4, 39.53170332549929)	(5, 39.56481010758519)	(6, 39.609318529701305)	(7, 39.63886452123798)	(8, 39.650469491414654)	(9, 39.677689270774096)	(10, 39.68651012573597)	(15, 39.69145193523126)	(20, 39.68066681201335)	(25, 39.58140133015685)	(30, 39.5699672504315)	(35, 39.53398789601729)	(40, 39.57454594081499)	(45, 39.576852618220244)	(50, 39.57588703284534)	(55, 39.572241295972105)	(60, 39.57341588049465)	(65, 39.56871680329088)	(70, 39.561477910084655)	(75, 39.55339314573042)	(80, 39.54606801275141)	(85, 39.541720265797814)	(90, 39.532144561525584)	(95, 39.50778113095132)	(100, 39.448966744157175)	(105, 39.40134721558637)	(110, 39.2698523385951)	(115, 38.98304728067087)	(120, 38.79193199874181)	(125, 38.76438854676245)	(130, 38.724898410223965)	(135, 38.77137817391309)	(140, 38.7707319077791)	(145, 38.83101167594356)	(150, 38.61209441858193)
231-MLH1KO-2_S14_L002_R1_001	(1, 38.697801772382384)	(2, 39.03788132875578)	(3, 39.23214151055061)	(4, 39.21314536219291)	(5, 38.98682273773244)	(6, 39.21237010929385)	(7, 39.26492418689172)	(8, 39.30541904742975)	(9, 39.45837747281201)	(10, 39.414199828752174)	(15, 39.48830032031591)	(20, 39.53389757900584)	(25, 39.34854911914362)	(30, 39.302138904949345)	(35, 39.30003040692174)	(40, 39.29944543905568)	(45, 39.29268293174936)	(50, 39.27402341718623)	(55, 39.2532575167641)	(60, 39.23257016211784)	(65, 39.21841364864372)	(70, 39.201461161856884)	(75, 39.182062878745405)	(80, 39.0507395705)	(85, 38.73134944138777)	(90, 38.2392661993988)	(95, 37.48841462265405)	(100, 36.34046273698487)	(105, 35.372813751720706)	(110, 34.29815706762173)	(115, 33.000822998193684)	(120, 32.15439405135794)	(125, 32.90904587034944)	(130, 32.843253020495055)	(135, 32.70562694573398)	(140, 32.894285529795866)	(145, 33.21252094344719)	(150, 32.744339333731446)
231-MLH1KO-2_S14_L002_R2_001	(1, 38.7771118843204)	(2, 39.014936057951736)	(3, 39.21491582622429)	(4, 39.20671796190759)	(5, 39.18621592434718)	(6, 39.2786456094531)	(7, 39.308546955555165)	(8, 39.33982904289196)	(9, 39.40498145474427)	(10, 39.39080815467165)	(15, 39.39995517376987)	(20, 39.41779042837568)	(25, 39.21011592700717)	(30, 39.16606710150048)	(35, 39.17215040024903)	(40, 39.18483456607444)	(45, 39.19271426818351)	(50, 39.19846389175571)	(55, 39.19540309047053)	(60, 39.19863978714561)	(65, 39.19168937594021)	(70, 39.167879603224776)	(75, 39.14090943295887)	(80, 39.11985812080873)	(85, 39.06923435964357)	(90, 39.00488224610542)	(95, 38.89311871880757)	(100, 38.75042013268494)	(105, 38.59001379732615)	(110, 38.3279212730681)	(115, 37.863385416682114)	(120, 37.58355835740919)	(125, 37.53284835331439)	(130, 37.52120598499194)	(135, 37.62823177569798)	(140, 37.70598122444274)	(145, 37.88714971053105)	(150, 37.65063445649086)
231-MLH1KO-2_S2_L001_R1_001	(1, 38.78641744661469)	(2, 39.04573148171389)	(3, 39.301843555534894)	(4, 39.29314840187933)	(5, 39.087629302117634)	(6, 39.28669939044723)	(7, 39.34184337843491)	(8, 39.36986886559742)	(9, 39.50322274773822)	(10, 39.475564860250046)	(15, 39.53807359031909)	(20, 39.57673470008296)	(25, 39.40765607807323)	(30, 39.36820424290552)	(35, 39.36695021872337)	(40, 39.36557786310048)	(45, 39.34536613160007)	(50, 39.35005905991615)	(55, 39.332759425194645)	(60, 39.31153897904006)	(65, 39.30481919344564)	(70, 39.29122757670798)	(75, 39.27072022495866)	(80, 39.14562945714523)	(85, 38.83384672471315)	(90, 38.34290815955966)	(95, 37.59330551626421)	(100, 36.422406612392685)	(105, 35.44179796075223)	(110, 34.342612988571744)	(115, 33.053359542829405)	(120, 32.26077228421644)	(125, 33.0845093732936)	(130, 33.0283828319662)	(135, 32.849416717607326)	(140, 33.075918435167935)	(145, 33.364856415045026)	(150, 32.894574004697255)
231-MLH1KO-2_S2_L001_R2_001	(1, 38.74483837363481)	(2, 38.982333950611434)	(3, 39.2628815906548)	(4, 39.258374265730914)	(5, 39.252453363859644)	(6, 39.332970017916075)	(7, 39.3698593594951)	(8, 39.393232651338856)	(9, 39.455626084106676)	(10, 39.4446749630849)	(15, 39.45694506231397)	(20, 39.455013982271964)	(25, 39.271342106358894)	(30, 39.24160350887165)	(35, 39.209656324776105)	(40, 39.256754022212576)	(45, 39.266249648282354)	(50, 39.27156538907582)	(55, 39.27382564069909)	(60, 39.27965950964594)	(65, 39.26903282017635)	(70, 39.243806411351635)	(75, 39.218709519915464)	(80, 39.1971471405628)	(85, 39.15764894686873)	(90, 39.09986421574607)	(95, 39.005682428923734)	(100, 38.8597029714155)	(105, 38.725361594063976)	(110, 38.48490005456567)	(115, 38.05065538878314)	(120, 37.76591204817406)	(125, 37.72638339588642)	(130, 37.70048835647337)	(135, 37.813726167151586)	(140, 37.87997092565118)	(145, 38.041913186432154)	(150, 37.77278580983739)
231-MLH1KO-3_S15_L002_R1_001	(1, 38.7054552741852)	(2, 39.031868694335714)	(3, 39.238036887700765)	(4, 39.195276854041005)	(5, 38.97411123929454)	(6, 39.20052906794889)	(7, 39.261396338583225)	(8, 39.30274303915448)	(9, 39.45321168606514)	(10, 39.41065699212453)	(15, 39.48739634871408)	(20, 39.529569188658)	(25, 39.33692749602048)	(30, 39.28727759612596)	(35, 39.285606322031946)	(40, 39.28458144382379)	(45, 39.27698791072693)	(50, 39.259958200735255)	(55, 39.238894100297976)	(60, 39.21607096725582)	(65, 39.19900633748149)	(70, 39.17871474621582)	(75, 39.162227084327945)	(80, 39.05771536451441)	(85, 38.832861969032514)	(90, 38.48849482598361)	(95, 37.90091411949594)	(100, 37.05375667844801)	(105, 36.31801176951804)	(110, 35.469675128883445)	(115, 34.505643336051776)	(120, 33.65775804864582)	(125, 33.85903227246422)	(130, 33.36399086577)	(135, 32.80379364023064)	(140, 32.51097612981168)	(145, 32.35207077793551)	(150, 31.363090153824334)
231-MLH1KO-3_S15_L002_R2_001	(1, 38.709789062984775)	(2, 38.94986403287715)	(3, 39.156132268411874)	(4, 39.14205058113103)	(5, 39.1411913977664)	(6, 39.23760684092155)	(7, 39.27052819416286)	(8, 39.30170581396968)	(9, 39.361821818564025)	(10, 39.35182236626325)	(15, 39.36218485133607)	(20, 39.38074532524469)	(25, 39.14904363959745)	(30, 39.09888650849028)	(35, 39.105183371598415)	(40, 39.11785596017055)	(45, 39.122714875384176)	(50, 39.12766843492257)	(55, 39.122398025053606)	(60, 39.122577879346615)	(65, 39.119076933694835)	(70, 39.107428028206826)	(75, 39.093466344041225)	(80, 39.08619093554625)	(85, 39.074077000178555)	(90, 39.06107038631474)	(95, 39.021836736244516)	(100, 38.96831075630614)	(105, 38.90743462117577)	(110, 38.74812655207828)	(115, 38.45427161860632)	(120, 38.291779208831066)	(125, 38.23326391061042)	(130, 38.20152679863791)	(135, 38.2176334692345)	(140, 38.21537681389751)	(145, 38.27695880035508)	(150, 38.03178586670077)
