Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
231-MLH1KO-1_S13_L002_R1_001	(16.0, 16.0)	(17.0, 601.0)	(18.0, 10973.0)	(19.0, 59612.0)	(20.0, 119816.0)	(21.0, 105832.0)	(22.0, 78775.0)	(23.0, 75722.0)	(24.0, 87967.0)	(25.0, 102738.0)	(26.0, 124477.0)	(27.0, 148680.0)	(28.0, 190403.0)	(29.0, 244486.0)	(30.0, 318261.0)	(31.0, 411736.0)	(32.0, 568903.0)	(33.0, 814856.0)	(34.0, 1246474.0)	(35.0, 2331660.0)	(36.0, 6059284.0)	(37.0, 12565735.0)	(38.0, 13173428.0)	(39.0, 4960773.0)	(40.0, 49290.0)				
231-MLH1KO-1_S13_L002_R2_001	(13.0, 13.0)	(14.0, 170.0)	(15.0, 850.0)	(16.0, 3068.0)	(17.0, 10792.0)	(18.0, 33473.0)	(19.0, 63772.0)	(20.0, 76399.0)	(21.0, 56901.0)	(22.0, 35427.0)	(23.0, 28895.0)	(24.0, 30564.0)	(25.0, 32827.0)	(26.0, 35983.0)	(27.0, 39052.0)	(28.0, 44731.0)	(29.0, 50544.0)	(30.0, 59514.0)	(31.0, 68792.0)	(32.0, 87579.0)	(33.0, 113245.0)	(34.0, 155287.0)	(35.0, 222056.0)	(36.0, 368535.0)	(37.0, 691528.0)	(38.0, 2052005.0)	(39.0, 29078526.0)	(40.0, 10409970.0)	
231-MLH1KO-1_S1_L001_R1_001	(16.0, 18.0)	(17.0, 560.0)	(18.0, 10733.0)	(19.0, 61202.0)	(20.0, 133051.0)	(21.0, 122012.0)	(22.0, 89091.0)	(23.0, 84070.0)	(24.0, 96513.0)	(25.0, 114889.0)	(26.0, 138652.0)	(27.0, 166552.0)	(28.0, 214236.0)	(29.0, 274582.0)	(30.0, 359728.0)	(31.0, 465482.0)	(32.0, 650940.0)	(33.0, 932467.0)	(34.0, 1416386.0)	(35.0, 2625744.0)	(36.0, 7042251.0)	(37.0, 15104693.0)	(38.0, 16528292.0)	(39.0, 7382040.0)	(40.0, 104697.0)				
231-MLH1KO-1_S1_L001_R2_001	(13.0, 18.0)	(14.0, 236.0)	(15.0, 1277.0)	(16.0, 4044.0)	(17.0, 12560.0)	(18.0, 37479.0)	(19.0, 72868.0)	(20.0, 91159.0)	(21.0, 69510.0)	(22.0, 43412.0)	(23.0, 34862.0)	(24.0, 36565.0)	(25.0, 39225.0)	(26.0, 42137.0)	(27.0, 45387.0)	(28.0, 52072.0)	(29.0, 59871.0)	(30.0, 69691.0)	(31.0, 81685.0)	(32.0, 102786.0)	(33.0, 134196.0)	(34.0, 182372.0)	(35.0, 259904.0)	(36.0, 428837.0)	(37.0, 799306.0)	(38.0, 2327473.0)	(39.0, 35672930.0)	(40.0, 13417019.0)	
231-MLH1KO-2_S14_L002_R1_001	(16.0, 8.0)	(17.0, 715.0)	(18.0, 11311.0)	(19.0, 59270.0)	(20.0, 132859.0)	(21.0, 134157.0)	(22.0, 102848.0)	(23.0, 95963.0)	(24.0, 108637.0)	(25.0, 126767.0)	(26.0, 151523.0)	(27.0, 179707.0)	(28.0, 229599.0)	(29.0, 288550.0)	(30.0, 368519.0)	(31.0, 468241.0)	(32.0, 649533.0)	(33.0, 906483.0)	(34.0, 1307231.0)	(35.0, 2123357.0)	(36.0, 5877161.0)	(37.0, 14203585.0)	(38.0, 16358035.0)	(39.0, 6510698.0)	(40.0, 169388.0)				
231-MLH1KO-2_S14_L002_R2_001	(13.0, 10.0)	(14.0, 188.0)	(15.0, 1310.0)	(16.0, 5983.0)	(17.0, 25452.0)	(18.0, 82876.0)	(19.0, 151465.0)	(20.0, 174647.0)	(21.0, 133879.0)	(22.0, 100337.0)	(23.0, 91511.0)	(24.0, 98659.0)	(25.0, 106609.0)	(26.0, 117393.0)	(27.0, 127773.0)	(28.0, 147769.0)	(29.0, 169762.0)	(30.0, 195211.0)	(31.0, 225717.0)	(32.0, 283860.0)	(33.0, 386166.0)	(34.0, 496739.0)	(35.0, 594532.0)	(36.0, 843056.0)	(37.0, 1391504.0)	(38.0, 3714051.0)	(39.0, 34060539.0)	(40.0, 6837147.0)	
231-MLH1KO-2_S2_L001_R1_001	(15.0, 1.0)	(16.0, 11.0)	(17.0, 620.0)	(18.0, 11042.0)	(19.0, 60214.0)	(20.0, 142788.0)	(21.0, 150781.0)	(22.0, 114162.0)	(23.0, 104069.0)	(24.0, 118097.0)	(25.0, 137793.0)	(26.0, 165773.0)	(27.0, 198487.0)	(28.0, 252964.0)	(29.0, 320303.0)	(30.0, 410154.0)	(31.0, 527884.0)	(32.0, 736253.0)	(33.0, 1040638.0)	(34.0, 1512695.0)	(35.0, 2454996.0)	(36.0, 7017733.0)	(37.0, 17257793.0)	(38.0, 19794138.0)	(39.0, 8614603.0)	(40.0, 290230.0)			
231-MLH1KO-2_S2_L001_R2_001	(13.0, 21.0)	(14.0, 256.0)	(15.0, 1742.0)	(16.0, 7018.0)	(17.0, 27367.0)	(18.0, 86612.0)	(19.0, 161928.0)	(20.0, 193513.0)	(21.0, 151372.0)	(22.0, 111674.0)	(23.0, 100911.0)	(24.0, 107764.0)	(25.0, 116629.0)	(26.0, 129081.0)	(27.0, 139731.0)	(28.0, 162548.0)	(29.0, 185289.0)	(30.0, 214506.0)	(31.0, 245945.0)	(32.0, 306799.0)	(33.0, 405012.0)	(34.0, 519966.0)	(35.0, 651903.0)	(36.0, 928027.0)	(37.0, 1523003.0)	(38.0, 4071711.0)	(39.0, 42043247.0)	(40.0, 8840647.0)	
231-MLH1KO-3_S15_L002_R1_001	(15.0, 1.0)	(16.0, 14.0)	(17.0, 750.0)	(18.0, 12813.0)	(19.0, 64804.0)	(20.0, 134913.0)	(21.0, 132524.0)	(22.0, 105057.0)	(23.0, 98499.0)	(24.0, 111224.0)	(25.0, 128274.0)	(26.0, 151077.0)	(27.0, 176178.0)	(28.0, 220021.0)	(29.0, 272110.0)	(30.0, 341977.0)	(31.0, 429141.0)	(32.0, 584048.0)	(33.0, 812768.0)	(34.0, 1171238.0)	(35.0, 1854945.0)	(36.0, 4840087.0)	(37.0, 12183989.0)	(38.0, 16696216.0)	(39.0, 9747123.0)	(40.0, 268897.0)			
231-MLH1KO-3_S15_L002_R2_001	(12.0, 1.0)	(13.0, 17.0)	(14.0, 285.0)	(15.0, 1889.0)	(16.0, 8163.0)	(17.0, 31466.0)	(18.0, 90700.0)	(19.0, 158246.0)	(20.0, 179540.0)	(21.0, 138942.0)	(22.0, 105873.0)	(23.0, 93906.0)	(24.0, 97633.0)	(25.0, 103243.0)	(26.0, 110729.0)	(27.0, 116699.0)	(28.0, 131569.0)	(29.0, 146897.0)	(30.0, 166999.0)	(31.0, 188800.0)	(32.0, 229833.0)	(33.0, 282807.0)	(34.0, 365368.0)	(35.0, 486859.0)	(36.0, 728724.0)	(37.0, 1187070.0)	(38.0, 2818276.0)	(39.0, 30767762.0)	(40.0, 11800392.0)
231-MLH1KO-3_S3_L001_R1_001	(16.0, 14.0)	(17.0, 761.0)	(18.0, 12307.0)	(19.0, 66280.0)	(20.0, 147288.0)	(21.0, 149988.0)	(22.0, 116679.0)	(23.0, 108093.0)	(24.0, 121418.0)	(25.0, 140347.0)	(26.0, 166555.0)	(27.0, 193996.0)	(28.0, 243943.0)	(29.0, 302516.0)	(30.0, 380271.0)	(31.0, 481872.0)	(32.0, 659495.0)	(33.0, 927863.0)	(34.0, 1347066.0)	(35.0, 2132465.0)	(36.0, 5718053.0)	(37.0, 14618504.0)	(38.0, 20137449.0)	(39.0, 13067942.0)	(40.0, 463274.0)				
