Sample	Unique Reads	Duplicate Reads
231-MLH1KO-1_S13_L002_R1_001	12819984	31030514
231-MLH1KO-1_S13_L002_R2_001	12091792	31758706
231-MLH1KO-1_S1_L001_R1_001	15096056	39022825
231-MLH1KO-1_S1_L001_R2_001	14268707	39850174
231-MLH1KO-2_S14_L002_R1_001	15467184	35096961
231-MLH1KO-2_S14_L002_R2_001	15801737	34762408
231-MLH1KO-2_S2_L001_R1_001	18298058	43136164
231-MLH1KO-2_S2_L001_R2_001	18254005	43180217
231-MLH1KO-3_S15_L002_R1_001	17111596	33427092
231-MLH1KO-3_S15_L002_R2_001	17545110	32993578
231-MLH1KO-3_S3_L001_R1_001	20060464	41643975
231-MLH1KO-3_S3_L001_R2_001	20142514	41561925
231-MLH1R4-1_S4_L001_R1_001	20958911	45066875
231-MLH1R4-1_S4_L001_R2_001	21110521	44915265
231-MSH2R4-1_S22_L002_R1_001	14147373	38925443
231-MSH2R4-1_S22_L002_R2_001	14650522	38422294
231-MSH2R4-2_S11_L001_R1_001	15504219	48031381
231-MSH2R4-2_S11_L001_R2_001	15654476	47881124
231-MSH2R4-2_S23_L002_R1_001	13241166	38869834
231-MSH2R4-2_S23_L002_R2_001	13775983	38335017
231-MSH2R4-3_S12_L001_R1_001	21403912	45702292
231-MSH2R4-3_S12_L001_R2_001	21615842	45490362
231-MSH2R4-3_S24_L002_R1_001	17925855	37059552
231-MSH2R4-3_S24_L002_R2_001	18589022	36396385
