Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
231-MLH1KO-1_S13_L002_R1_001	(1.0, 22.829107052578298)	(2.0, 5.68968647381881)	(3.0, 2.6368590481726892)	(4.0, 1.782202815630456)	(5.0, 1.479177940722871)	(6.0, 1.2497285516665981)	(7.0, 1.137361510392169)	(8.0, 1.0265372275682394)	(9.0, 0.9338562693134647)	('>10', 21.947274073793047)	('>50', 13.55079587861662)	('>100', 23.029401143520758)	('>500', 2.2313898045160556)	('>1k', 0.4766222096899438)	('>5k', 0.0)	('>10k+', 0.0)
231-MLH1KO-1_S13_L002_R2_001	(1.0, 21.200432905432216)	(2.0, 5.540311369231113)	(3.0, 2.6044930734710943)	(4.0, 1.839500387227911)	(5.0, 1.5261179988610412)	(6.0, 1.2356668604328163)	(7.0, 1.1814723532441234)	(8.0, 1.049240795915192)	(9.0, 0.9524433245109015)	('>10', 22.170851338309497)	('>50', 13.86337476238298)	('>100', 23.86387238455875)	('>500', 2.3475276357064736)	('>1k', 0.5443322193497537)	('>5k', 0.0)	('>10k+', 0.08036259136572028)
231-MLH1KO-1_S1_L001_R1_001	(1.0, 21.75223049329215)	(2.0, 5.570553807847668)	(3.0, 2.4951894440902413)	(4.0, 1.7948892983265539)	(5.0, 1.342324824748466)	(6.0, 1.141038078045602)	(7.0, 0.9980881480403714)	(8.0, 1.0120130379834185)	(9.0, 0.8732212031196932)	('>10', 20.045370229780193)	('>50', 12.906828515663413)	('>100', 25.795906675657186)	('>500', 3.4076770852402323)	('>1k', 0.854210843740817)	('>5k', 0.010458314423881867)	('>10k+', 0.0)
231-MLH1KO-1_S1_L001_R2_001	(1.0, 20.255416627184427)	(2.0, 5.437170152921049)	(3.0, 2.5274130143361795)	(4.0, 1.704672490719403)	(5.0, 1.3997018374642738)	(6.0, 1.1873099061608428)	(7.0, 1.1062228864995318)	(8.0, 0.9626763186291942)	(9.0, 0.8894271385157317)	('>10', 20.240250248112755)	('>50', 13.33736313398837)	('>100', 26.58236381115958)	('>500', 3.4696844682925736)	('>1k', 0.8037124048666484)	('>5k', 0.010228290037204659)	('>10k+', 0.08638727111226066)
231-MLH1KO-2_S14_L002_R1_001	(1.0, 23.664994808737823)	(2.0, 6.392290351988376)	(3.0, 3.0916560474590513)	(4.0, 2.04938194511175)	(5.0, 1.669656266444098)	(6.0, 1.3359557562189124)	(7.0, 1.2196505623177853)	(8.0, 1.0182975840974555)	(9.0, 0.9650211366471383)	('>10', 19.56574474197771)	('>50', 11.944065512825693)	('>100', 22.790318686119303)	('>500', 3.3216479749611096)	('>1k', 0.9607855594871036)	('>5k', 0.01053306560656971)	('>10k+', 0.0)
231-MLH1KO-2_S14_L002_R2_001	(1.0, 24.473425756043405)	(2.0, 6.297086003263072)	(3.0, 3.0302773580279556)	(4.0, 1.9662258358232245)	(5.0, 1.5828415063829073)	(6.0, 1.2822294323160988)	(7.0, 1.1677351015864221)	(8.0, 0.9590128702759209)	(9.0, 0.9066048351021473)	('>10', 19.5741852295758)	('>50', 11.637808408128567)	('>100', 22.82206552408523)	('>500', 3.231577708167937)	('>1k', 0.9404955047287059)	('>5k', 0.0)	('>10k+', 0.12842892649252008)
231-MLH1KO-2_S2_L001_R1_001	(1.0, 23.04135541383815)	(2.0, 6.344469993804745)	(3.0, 3.058255789675564)	(4.0, 2.0128845845435657)	(5.0, 1.5131291251331083)	(6.0, 1.2524532502007446)	(7.0, 1.141321509620943)	(8.0, 0.9756275445601136)	(9.0, 0.9295018888291521)	('>10', 18.15338682139265)	('>50', 11.178558012634733)	('>100', 24.504231984998356)	('>500', 4.315780711688033)	('>1k', 1.5685776918641214)	('>5k', 0.010465677216058298)	('>10k+', 0.0)
231-MLH1KO-2_S2_L001_R2_001	(1.0, 23.124408197071844)	(2.0, 6.14596703386148)	(3.0, 2.897056637054709)	(4.0, 1.9775125575384573)	(5.0, 1.5393874369660658)	(6.0, 1.2475432050003394)	(7.0, 1.1272325877816851)	(8.0, 0.9403829881944532)	(9.0, 0.904376939923395)	('>10', 18.281315866356387)	('>50', 11.382922763499376)	('>100', 24.607302527617907)	('>500', 4.2157839093376985)	('>1k', 1.4695202607542017)	('>5k', 0.009739301148830431)	('>10k+', 0.1295477878930213)
231-MLH1KO-3_S15_L002_R1_001	(1.0, 26.221220877468664)	(2.0, 7.778223561641136)	(3.0, 3.6381012631530734)	(4.0, 2.3301632260105376)	(5.0, 1.6380765508905368)	(6.0, 1.3143411022083558)	(7.0, 1.1655392694282214)	(8.0, 0.9991614025049093)	(9.0, 0.8006231306882546)	('>10', 16.130920123185355)	('>50', 9.69953231804293)	('>100', 21.13702261252481)	('>500', 4.68211169280662)	('>1k', 2.4649628694465813)	('>5k', 0.0)	('>10k+', 0.0)
231-MLH1KO-3_S15_L002_R2_001	(1.0, 27.347209246043796)	(2.0, 7.401713425254822)	(3.0, 3.647426930164869)	(4.0, 2.1536109929649947)	(5.0, 1.583857864518216)	(6.0, 1.3268416826296479)	(7.0, 1.0565414113803526)	(8.0, 0.9507183987585174)	(9.0, 0.8019619570782457)	('>10', 16.078858562567966)	('>50', 9.71968852717585)	('>100', 20.85309174968441)	('>500', 4.4935874017527695)	('>1k', 2.3987106725365663)	('>5k', 0.0)	('>10k+', 0.18618117748889304)
