Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
231-MLH1KO-1_S13_L002_R1_001	70.76433762971307	45.0	151.0	151	36.36363636363637	43.850497999999995
231-MLH1KO-1_S13_L002_R2_001	72.42496253231246	44.0	151.0	151	27.27272727272727	43.850497999999995
231-MLH1KO-1_S1_L001_R1_001	72.10575139759607	45.0	151.0	151	45.45454545454545	54.118880999999995
231-MLH1KO-1_S1_L001_R2_001	73.63451380383466	44.0	151.0	151	36.36363636363637	54.118880999999995
231-MLH1KO-2_S14_L002_R1_001	69.41076904838289	49.0	151.0	151	27.27272727272727	50.564144999999996
231-MLH1KO-2_S14_L002_R2_001	68.7491270734387	46.0	151.0	151	27.27272727272727	50.564144999999996
231-MLH1KO-2_S2_L001_R1_001	70.21520373182008	49.0	151.0	151	36.36363636363637	61.434222
231-MLH1KO-2_S2_L001_R2_001	70.28691225582844	46.0	151.0	151	36.36363636363637	61.434222
231-MLH1KO-3_S15_L002_R1_001	66.14159159203255	48.0	151.0	151	36.36363636363637	50.538688
231-MLH1KO-3_S15_L002_R2_001	65.28380423794049	47.0	151.0	151	36.36363636363637	50.538688
231-MLH1KO-3_S3_L001_R1_001	67.48943240695792	48.0	151.0	151	45.45454545454545	61.704439
231-MLH1KO-3_S3_L001_R2_001	67.3564593360642	47.0	151.0	151	45.45454545454545	61.704439
231-MLH1R4-1_S4_L001_R1_001	68.25647668555405	50.0	151.0	151	36.36363636363637	66.025786
231-MLH1R4-1_S4_L001_R2_001	68.02685427542932	47.0	151.0	151	36.36363636363637	66.025786
231-MSH2R4-1_S22_L002_R1_001	73.34346707436865	46.0	151.0	151	27.27272727272727	53.072815999999996
231-MSH2R4-1_S22_L002_R2_001	72.3954320094209	45.0	151.0	151	27.27272727272727	53.072815999999996
231-MSH2R4-2_S11_L001_R1_001	75.59758901814777	46.0	151.0	151	36.36363636363637	63.535599999999995
231-MSH2R4-2_S11_L001_R2_001	75.36109621373714	45.0	151.0	151	36.36363636363637	63.535599999999995
231-MSH2R4-2_S23_L002_R1_001	74.59045956844191	46.0	151.0	151	27.27272727272727	52.111
231-MSH2R4-2_S23_L002_R2_001	73.56415546083113	45.0	151.0	151	27.27272727272727	52.111
231-MSH2R4-3_S12_L001_R1_001	68.10442210068221	47.0	151.0	151	36.36363636363637	67.10620399999999
231-MSH2R4-3_S12_L001_R2_001	67.7886087014201	45.0	151.0	151	36.36363636363637	67.10620399999999
231-MSH2R4-3_S24_L002_R1_001	67.39888797628541	47.0	151.0	151	27.27272727272727	54.985406999999995
231-MSH2R4-3_S24_L002_R2_001	66.19280923327125	45.0	151.0	151	27.27272727272727	54.985406999999995
