"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneSymbol"
"ENSG00000000003",585.428760089116,-0.728161645351769,0.120352350023602,-6.05024866742501,1.44622425226692e-09,1.24549110725276e-08,"TSPAN6"
"ENSG00000000005",0.361137243639882,-2.03952390725131,4.03441853825149,-0.505531066723493,0.613185883995017,NA,"TNMD"
"ENSG00000000419",1675.05654383779,-0.215080794088989,0.0855563790820688,-2.51390716153001,0.0119401861085863,0.0345672032950598,"DPM1"
"ENSG00000000457",392.124483041492,0.00251344797633696,0.188865172072385,0.0133081602539913,0.989381937823994,0.993987585655704,"SCYL3"
"ENSG00000000460",1549.04874037862,0.395543872547618,0.105353754482209,3.75443546830988,0.000173732595760733,0.000757379408094916,"FIRRM"
"ENSG00000000938",0,NA,NA,NA,NA,NA,"FGR"
"ENSG00000000971",600.640395528778,0.131882375383805,0.150644557733162,0.875453965070609,0.381326947831888,0.557836636709891,"CFH"
"ENSG00000001036",2495.88276844126,0.620703937231796,0.0730707145927762,8.49456503458308,1.98675525071161e-17,3.19755137520189e-16,"FUCA2"
"ENSG00000001084",772.47619060542,0.780965361680223,0.156258488091309,4.99790680954158,5.79559797214257e-07,3.69453902046227e-06,"GCLC"
"ENSG00000001167",3055.20715044498,-0.615013487035011,0.0864793734424192,-7.11167834078386,1.14640198033685e-12,1.29398227307965e-11,"NFYA"
"ENSG00000001460",520.924317925688,-0.400188539400462,0.133704287638957,-2.99308680721664,0.00276171185192891,0.00942475603040627,"STPG1"
"ENSG00000001461",3452.95355174867,-0.590039208154108,0.0730560991901209,-8.07652221642154,6.66400257920407e-16,9.69717938271995e-15,"NIPAL3"
"ENSG00000001497",1451.95557170006,-0.183041856856871,0.0912763733462747,-2.00535856264212,0.0449247282581704,0.10715534717558,"LAS1L"
"ENSG00000001561",1147.9446258448,0.67458588760509,0.0915305910483511,7.37005934167671,1.7055210214021e-13,2.05040255411918e-12,"ENPP4"
"ENSG00000001617",138.562962769996,0.664162266935918,0.237900297290601,2.79176728444616,0.00524210426796541,0.0166877223657481,"SEMA3F"
"ENSG00000001626",0.541705865459824,-2.62617823398732,3.99222385015198,-0.657823391813899,0.510651621569986,NA,"CFTR"
"ENSG00000001629",3199.02097272225,-0.132659639746917,0.138407906652887,-0.95846865222529,0.337826491421371,0.512968207241758,"ANKIB1"
"ENSG00000001630",2763.78907051847,0.197588867949776,0.0698312639716711,2.82951870998545,0.00466180741410267,0.0150462984160038,"CYP51A1"
"ENSG00000001631",777.678622840864,-0.289678220752818,0.183946218927801,-1.57479845164154,0.115302973944777,0.228130190635239,"KRIT1"
"ENSG00000002016",364.295319635098,-0.107776148238318,0.224397715377975,-0.480290755441875,0.631020661426842,0.774741131469432,"RAD52"
"ENSG00000002079",2.22776715020481,-1.847690334331,1.9944492858837,-0.926416303191349,0.354229674763608,0.530367449351431,"MYH16"
"ENSG00000002330",909.234662845639,0.282116107622174,0.161165226884955,1.75047752592163,0.0800359488381301,0.172007672649961,"BAD"
"ENSG00000002549",2808.63828508184,0.584158503807289,0.082274377366303,7.10012670416807,1.24642563738915e-12,1.40158332972705e-11,"LAP3"
"ENSG00000002586",1461.43523623209,0.273358128768316,0.121410385546545,2.25152179146585,0.0243525082806566,0.0639159678873849,"CD99"
"ENSG00000002587",238.57334511071,-0.337384119902011,0.287833344746225,-1.17215092017734,0.241136469217021,0.401103143128085,"HS3ST1"
"ENSG00000002726",0.16903338623383,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"AOC1"
"ENSG00000002745",0,NA,NA,NA,NA,NA,"WNT16"
"ENSG00000002746",160.730328190827,3.41445713176917,0.387124099069221,8.8200583223279,1.1440011962842e-18,2.01103959068095e-17,"HECW1"
"ENSG00000002822",1004.45568959467,0.410749413036511,0.14890099908623,2.75854034262484,0.00580601381917285,0.0182718070173653,"MAD1L1"
"ENSG00000002834",25065.7445805184,-0.023520862563925,0.0500720798667321,-0.469740075238063,0.638540732321912,0.780496768207602,"LASP1"
"ENSG00000002919",916.339843801509,-0.298181565832369,0.135850467882672,-2.1949248352232,0.0281689899840931,0.0724987237909569,"SNX11"
"ENSG00000002933",0.417894289852794,-0.766557453692113,4.07603906386098,-0.188064304998589,0.850826242269094,NA,"TMEM176A"
"ENSG00000003056",3701.50021081815,0.0153290559850233,0.0661743092851094,0.231646633725767,0.816812484014656,0.89902070821226,"M6PR"
"ENSG00000003096",51.4571630980336,0.662206346095057,0.364580769325822,1.81635018028954,0.0693166722480552,0.15321687438048,"KLHL13"
"ENSG00000003137",491.730457743822,-1.20944192931362,0.177998326990767,-6.79468144313715,1.08552119101599e-11,1.12789681523605e-10,"CYP26B1"
"ENSG00000003147",149.646126097168,-0.306819581623122,0.295140753248957,-1.0395703685296,0.298539549463146,0.470379008666843,"ICA1"
"ENSG00000003249",171.926718045975,0.454772246757024,0.223793690187752,2.03210486576047,0.0421430409140479,0.101616407577512,"DBNDD1"
"ENSG00000003393",1615.07616732925,0.226305143027639,0.0820267124209624,2.75892006821189,0.0057992717871508,0.0182537964370466,"ALS2"
"ENSG00000003400",180.246322630972,-0.69911555162345,0.226593314471333,-3.08533176830289,0.00203325211848304,0.00715271900989527,"CASP10"
"ENSG00000003402",3475.57684073172,-0.0564101673849801,0.0965813604349501,-0.584068883798482,0.559173968515866,0.719574949570741,"CFLAR"
"ENSG00000003436",3227.08708114555,0.0996472183962536,0.0932327648098311,1.06880042224969,0.285159609040624,0.454980435000437,"TFPI"
"ENSG00000003509",300.244667395366,-0.413002476762714,0.209039720786096,-1.97571291814596,0.0481873009875762,0.113471686944979,"NDUFAF7"
"ENSG00000003756",3042.92734684962,0.235448444410446,0.0778853294766149,3.02301403862122,0.00250270632856112,0.00863462605229496,"RBM5"
"ENSG00000003987",77.058701057475,-1.00871204881478,0.491589678798647,-2.05193903029023,0.0401755881006531,0.0976611900728726,"MTMR7"
"ENSG00000003989",3008.83469596461,-0.879295508501672,0.0794296071160321,-11.0701228474816,1.75160325708408e-28,5.38189865251237e-27,"SLC7A2"
"ENSG00000004059",929.753911702196,-0.0397351644721055,0.140797219123089,-0.282215548855179,0.77777823644418,0.876193257857067,"ARF5"
"ENSG00000004139",118.700501402629,0.326040628714247,0.390285380957813,0.835390318525636,0.40349797908835,0.580361226997726,"SARM1"
"ENSG00000004142",4538.11919852111,-0.0827214287301668,0.0681069907385111,-1.21458058612171,0.224526097032574,0.380504822719442,"POLDIP2"
"ENSG00000004399",1274.81673321439,-0.0522187937876849,0.147325615108213,-0.354444770173396,0.723005587705229,0.838753907944029,"PLXND1"
"ENSG00000004455",5330.50529433522,-0.465094434986566,0.0867187245709086,-5.36325271488818,8.17365240623178e-08,5.79630386194893e-07,"AK2"
"ENSG00000004468",11.5898820857931,-0.403440981902572,0.812090811119701,-0.496792940368717,0.619335074075231,0.76609111397222,"CD38"
"ENSG00000004478",4520.7129300347,0.316352097277494,0.064911823819481,4.87356661179734,1.09601288807924e-06,6.71995938306559e-06,"FKBP4"
"ENSG00000004487",4426.88395215117,-0.749005958948618,0.0767707972801469,-9.75639156403958,1.73208673493511e-22,3.9224866855743e-21,"KDM1A"
"ENSG00000004534",1697.100113476,0.0274702798378697,0.0939091979465871,0.292519587415644,0.769889385886316,0.871341164357056,"RBM6"
"ENSG00000004660",303.661487258261,-1.05623873531445,0.166382123788431,-6.34827054291929,2.17748907194594e-10,2.00954980658257e-09,"CAMKK1"
"ENSG00000004700",1994.94535109675,-0.0198603790763634,0.087678912706476,-0.22651260677525,0.820802755230059,0.901750368257347,"RECQL"
"ENSG00000004766",867.932389190133,0.170411103915663,0.113065230824529,1.50719281845479,0.131761240525736,0.253543785749007,"VPS50"
"ENSG00000004776",2.73385428925498,1.30744749132647,1.78674381527388,0.731748715260595,0.464321956489307,0.63677558523713,"HSPB6"
"ENSG00000004777",395.287097668574,1.63164216282185,0.170451455948013,9.57247419065458,1.0437734801666e-21,2.23917537128435e-20,"ARHGAP33"
"ENSG00000004779",914.981358440575,0.0188753542512737,0.116948505845473,0.161398849132919,0.871779273049244,0.931419665879227,"NDUFAB1"
"ENSG00000004799",100.438048421143,1.61729160365608,0.481990980204621,3.35543956231192,0.000792389685613536,0.00304593914987023,"PDK4"
"ENSG00000004809",0.492472342393579,0.754264706585868,4.03913804324131,0.186739026621776,0.851865255470225,NA,"SLC22A16"
"ENSG00000004838",3.5185457001616,-0.157721207254304,1.5753545384925,-0.100117912127407,0.920250714959345,0.956825049197356,"ZMYND10"
