"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneSymbol"
"ENSG00000000003",768.098114989665,0.164928340086449,0.125061111087119,1.31878198308631,0.187242009256089,0.505319316081023,"TSPAN6"
"ENSG00000000005",0.493488557194141,2.50651477934805,3.99999143891346,0.626630035995503,0.530901774959536,NA,"TNMD"
"ENSG00000000419",1612.41232561068,-0.00321790402867077,0.101851901263971,-0.0315939514995493,0.974795866987713,0.994034097858527,"DPM1"
"ENSG00000000457",349.23689230161,-0.177400525244968,0.163934790972963,-1.08214079630129,0.279189970539186,0.616883433742307,"SCYL3"
"ENSG00000000460",1343.07007591398,0.0593462498530237,0.121917257001379,0.486774811972291,0.626417922013114,0.868267729779803,"FIRRM"
"ENSG00000000938",0.482997726524638,0.437386431617534,4.05796723943898,0.107784613775739,0.914166548207575,NA,"FGR"
"ENSG00000000971",600.090674166863,0.0803110799553239,0.129354949488466,0.620858191147024,0.534692931772533,0.821563116027667,"CFH"
"ENSG00000001036",1839.21558763757,-0.111946267147706,0.0891308215482726,-1.25597705937308,0.209124287608243,0.53317451736483,"FUCA2"
"ENSG00000001084",608.422895821169,0.00434167099036584,0.170137662756317,0.025518576663324,0.979641331277208,0.995131706741636,"GCLC"
"ENSG00000001167",3101.37681759578,-0.35354329700419,0.107432708665379,-3.29083480623554,0.000998905539932487,0.0132918616903372,"NFYA"
"ENSG00000001460",607.751098850123,-0.199876892066923,0.12168587987883,-1.64256438188188,0.100473095254349,0.3529795011453,"STPG1"
"ENSG00000001461",4130.47560405369,-0.151395059159323,0.0737702567657085,-2.05225067387454,0.0401453070478711,0.200342072922864,"NIPAL3"
"ENSG00000001497",1479.9401266047,0.0134448679684513,0.1023471643107,0.131365319781953,0.895486321683022,0.972366820405576,"LAS1L"
"ENSG00000001561",853.340458287798,-0.0777974194416683,0.115185768194953,-0.675408261461566,0.499416418149093,0.798917683704581,"ENPP4"
"ENSG00000001617",156.575644594413,1.12549525591139,0.231702071288176,4.85751055074328,1.18870805268478e-06,3.87144957319958e-05,"SEMA3F"
"ENSG00000001626",1.56007423449258,3.70628578448633,3.01944112570706,1.22747410205537,0.219644449830104,NA,"CFTR"
"ENSG00000001629",3187.0943349966,-0.040620785660762,0.100470601837138,-0.404305188960726,0.685988310213845,0.891896425404254,"ANKIB1"
"ENSG00000001630",2746.85629068132,0.318511822939712,0.0866167790727848,3.67725314135802,0.000235759049650858,0.00404294234401269,"CYP51A1"
"ENSG00000001631",782.962464771435,-0.25904777638643,0.12875661671428,-2.01191816775736,0.0442285639334704,0.213146844206826,"KRIT1"
"ENSG00000002016",352.921778765036,-0.0735166849063361,0.183499666113481,-0.400636614024526,0.688687684634316,0.892583613969481,"RAD52"
"ENSG00000002079",1.95036685679089,-0.859830535826533,1.90017816263462,-0.452499956443224,0.65090885261301,NA,"MYH16"
"ENSG00000002330",756.915866437486,-0.064524930236252,0.135685195720935,-0.475548786980129,0.634395868263421,0.870944745472165,"BAD"
"ENSG00000002549",2252.81605830255,0.0260654823868208,0.0965394369198742,0.269998284830008,0.787161573127934,0.934823415215366,"LAP3"
"ENSG00000002586",1285.72037973654,0.113810590895682,0.10332410763721,1.10149115727467,0.270682950970591,0.607898963181794,"CD99"
"ENSG00000002587",178.86270988512,-0.327917441558734,0.274544592898355,-1.19440502578078,0.232319571843511,0.565539768878114,"HS3ST1"
"ENSG00000002726",0.147554999871547,-0.814209446102244,4.0804728567969,-0.199538013038367,0.841841911053772,NA,"AOC1"
"ENSG00000002745",0.896694735414997,3.37008358358569,3.48865456418917,0.966012404374853,0.334037974058887,NA,"WNT16"
"ENSG00000002746",28.2968477597477,-0.0159720382465321,0.50633189042199,-0.031544602559441,0.974835222129181,0.994034097858527,"HECW1"
"ENSG00000002822",1105.99918509962,0.478629316637217,0.1148677896661,4.16678442258276,3.08926386885114e-05,0.000737133951808291,"MAD1L1"
"ENSG00000002834",24858.9119994646,-0.194189995220645,0.0728282582534676,-2.66640998806804,0.00766661334918267,0.0630582851541226,"LASP1"
"ENSG00000002919",976.485520954636,-0.142425278685522,0.130077885203553,-1.09492307983519,0.273550336767789,0.611701569787771,"SNX11"
"ENSG00000002933",0,NA,NA,NA,NA,NA,"TMEM176A"
"ENSG00000003056",3580.82785564998,0.146915613400526,0.0812609385441885,1.80794876397638,0.0706144752157006,0.284181921433589,"M6PR"
"ENSG00000003096",15.1055499855028,1.02786167381201,2.24287761047248,0.45827809284497,0.646752661023405,0.875775815039707,"KLHL13"
"ENSG00000003137",630.753092842043,-0.292961351339734,0.179529850150079,-1.63182529866109,0.102716294258528,0.358121649750033,"CYP26B1"
"ENSG00000003147",168.904134224951,0.323077247391175,0.219367607271397,1.47276642805093,0.140814027690545,0.430327242397476,"ICA1"
"ENSG00000003249",204.59448658996,1.09016754636993,0.21096846470408,5.16744314321611,2.37318126056409e-07,8.89474943924649e-06,"DBNDD1"
"ENSG00000003393",1395.21215991127,-0.124288182146056,0.0914696201224397,-1.35879193528611,0.174212529591757,0.486800471220926,"ALS2"
"ENSG00000003400",220.855361920815,-0.0697348143252024,0.224918345776693,-0.310045025826562,0.756526716583126,0.923516839401757,"CASP10"
"ENSG00000003402",3267.59636220758,0.137327409229521,0.0833340617356886,1.64791450661656,0.0993702161323343,0.350917536767286,"CFLAR"
"ENSG00000003436",2595.86068369067,-0.0833522289432705,0.0760823241498239,-1.09555313766612,0.273274379230484,0.611338363396932,"TFPI"
"ENSG00000003509",344.253605256413,-0.0417064943070123,0.220524789861806,-0.189123836522634,0.849995759757253,0.957119162353176,"NDUFAF7"
"ENSG00000003756",2653.8835585528,-0.0140942439708787,0.119871295275379,-0.117578140275369,0.906401926315782,0.975484125096945,"RBM5"
"ENSG00000003987",99.3044469397536,-0.762409919040131,0.276216119688719,-2.76019343077923,0.00577671471271979,0.0511606630862256,"MTMR7"
"ENSG00000003989",3789.51913266115,-0.0596650751711333,0.0717659724314723,-0.831383915658721,0.405756782473936,0.731621281848862,"SLC7A2"
"ENSG00000004059",980.787719352278,0.133875435190933,0.113962950608171,1.17472770296397,0.240103672397004,0.576063377974336,"ARF5"
"ENSG00000004139",106.626779761669,-0.839947412285086,0.383734169294919,-2.18887834207838,0.028605683622553,0.157981611363665,"SARM1"
"ENSG00000004142",4811.49691996032,0.00758843832956811,0.0737904245397888,0.102837710677167,0.918091775124118,0.977704713192342,"POLDIP2"
"ENSG00000004399",1273.80686859541,-0.582673130953619,0.134719665022173,-4.32507853146547,1.52477532912498e-05,0.000386675363684222,"PLXND1"
"ENSG00000004455",6487.7150721045,0.261830558383912,0.0875609137560254,2.9902675423587,0.00278733193560367,0.0295657764954436,"AK2"
"ENSG00000004468",12.4556834434163,-1.05271042937037,0.814468152605266,-1.29251269801407,0.196179651368845,0.515742473689481,"CD38"
"ENSG00000004478",4256.48219286757,0.207176220335763,0.0912501760212964,2.27041995280547,0.0231821150034584,0.138185935706962,"FKBP4"
"ENSG00000004487",5629.80166233569,0.0836339414427499,0.089711315491378,0.932256326692566,0.351204072153818,0.686474562203356,"KDM1A"
"ENSG00000004534",1633.21961527003,-0.080101623611832,0.129417640467659,-0.618938989479172,0.53595655190608,0.822207230720875,"RBM6"
"ENSG00000004660",399.187278634668,0.0271930512473421,0.144751071287887,0.187860794434186,0.850985776992909,0.957433085495435,"CAMKK1"
"ENSG00000004700",1985.92998351727,-0.0217565181323026,0.101438362856785,-0.214480178105982,0.83017262289288,0.950346383100628,"RECQL"
"ENSG00000004766",762.735991332618,-0.035270632746414,0.161553603087477,-0.218321548218989,0.827178586330686,0.949494982135004,"VPS50"
"ENSG00000004776",1.44354386605499,-0.554151689314689,2.07927478864672,-0.266512003290991,0.789844916309285,NA,"HSPB6"
"ENSG00000004777",294.275475145551,-0.489623238593499,0.659915894583409,-0.741947940051645,0.458118878282184,0.771121429589497,"ARHGAP33"
"ENSG00000004779",894.831349754599,0.179838762855053,0.112556461909353,1.59776488887759,0.110095311432992,0.371833506353449,"NDUFAB1"
"ENSG00000004799",34.0284982600183,-0.673961619452895,0.541489812290356,-1.24464321240361,0.213262928719503,0.538675989859574,"PDK4"
"ENSG00000004809",0.775885469099834,3.14904014151307,3.23581156059187,0.973184032056883,0.330461845495731,NA,"SLC22A16"
"ENSG00000004838",4.45538098411188,1.16244031169289,1.42937633821243,0.813250003247311,0.416074735797593,0.738097411601521,"ZMYND10"
"ENSG00000004846",22.4862281357049,0.865387464862148,0.557146969177812,1.5532480884518,0.120363876843787,0.394553179085743,"ABCB5"
"ENSG00000004848",1.54924810088556,1.85688267280483,2.43300356110009,0.763205900103673,0.44534061063318,NA,"ARX"
"ENSG00000004864",1227.72223712184,-0.344056647389326,0.102205543641099,-3.36632079955957,0.000761780600177643,0.0106543755976361,"SLC25A13"
"ENSG00000004866",627.836563533683,-0.162202418683048,0.128275691623135,-1.26448290109078,0.206056754142712,0.529363995932153,"ST7"
"ENSG00000004897",7063.79040137949,-0.20153875190101,0.0879207423372612,-2.2922776416959,0.0218896271512618,0.133335232655159,"CDC27"
"ENSG00000004939",43.0306164477806,0.543142395820876,0.481845672639792,1.12721235586753,0.259652707652132,0.595926069342749,"SLC4A1"
"ENSG00000004948",2.92114838785751,-1.06480464500114,1.48001992142871,-0.719452913831898,0.471861904224719,NA,"CALCR"
"ENSG00000004961",764.873952514958,-0.170459558241568,0.110786352967666,-1.53863317706035,0.123893874238781,0.400998125516584,"HCCS"
"ENSG00000004975",1903.65537323394,-0.031212650939879,0.0892885204637965,-0.349570703800996,0.726660900353618,0.911180579430306,"DVL2"
"ENSG00000005001",1.9731310877897,3.41945548674247,2.18809745798248,1.56275282632765,0.118110743813375,NA,"PRSS22"
"ENSG00000005007",6239.30181156035,0.121880206124939,0.0761000878948385,1.60157773133408,0.109249018392644,0.370213686409645,"UPF1"
"ENSG00000005020",773.801347397308,-0.250091398118318,0.126828856006527,-1.97188089519192,0.0486232047253158,0.225771557669661,"SKAP2"
