"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","36/1285","168/18888",5.53377900841623e-10,2.98768728664392e-06,2.8030046935262e-06,"CDH3/PCDHGA2/PCDHB8/PCDHB10/PCDHB14/PCDHB12/CDH24/CELSR2/NEXN/PCDHB1/PCDHB9/CADM1/PCDHB13/FAT4/PCDHB11/PLXNB3/PCDHGA1/PCDHGA12/PCDHGB6/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGA11/PCDHGB2/PCDHGB4/PCDHGB7/PCDHGB1/PCDHGA3/PECAM1/PCDHGA9/PCDHGB3/PCDHGA4/PCDHB16/PCDHGB5",36
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","47/1285","279/18888",6.71935071062495e-09,1.81388872433321e-05,1.70176397997512e-05,"CDH3/PCDHGA2/TGFB2/PTPRS/MDGA1/PCDHB8/PCDHB10/PCDHB14/PCDHB12/MMP24/FGFRL1/AJUBA/CDH24/CELSR2/CXADR/NEXN/CLDN1/CLDN3/PCDHB1/PCDHB9/CADM1/EFNA5/PCDHB13/FAT4/PCDHB11/PLXNB3/PSG5/PCDHGA1/PCDHGA12/PCDHGB6/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGA11/PCDHGB2/PCDHGB4/PCDHGB7/PCDHGB1/PCDHGA3/PECAM1/PCDHGA9/PCDHGB3/PCDHGA4/PCDHB16/PCDHGB5",47
"GO:0006749","BP","GO:0006749","glutathione metabolic process","15/1285","57/18888",4.15529304082e-06,0.00747814237579573,0.00701588424997398,"GCLC/CTNS/MGST2/GGT5/GGT1/SLC1A1/NDP/GLO1/GSTM1/GSTM3/ARL6IP5/SLC7A11/G6PD/GSTA4/OPLAH",15
"GO:0060612","BP","GO:0060612","adipose tissue development","14/1285","59/18888",3.10947247998678e-05,0.037756356842258,0.0354224640284157,"FOSL2/PPARGC1A/ARRDC3/TRPM4/PPARG/SORL1/COL6A1/PAXIP1/LRP5/ABHD15/LPL/CSF1/SELENOM/EBF2",14
"GO:1901136","BP","GO:1901136","carbohydrate derivative catabolic process","37/1285","273/18888",4.68420803367751e-05,0.037756356842258,0.0354224640284157,"FUCA2/ENPP4/GPC1/NTHL1/PDE8A/SIRT6/GALK1/ALDOC/MANBA/OGG1/FBXO6/PFKFB2/APOBEC3F/CTSL/NT5E/PFKL/COL6A1/CDA/PDE9A/AMDHD2/NEU3/PRKAA2/FBP1/SMPD1/DDIT4/GUSB/INSR/UCP2/GBA1/ZBTB7A/APOBEC3B/SGSH/PDE2A/OGDHL/APOBEC3D/APOBEC3C/SLC2A6",37
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","42/1285","327/18888",5.34492260786742e-05,0.037756356842258,0.0354224640284157,"RORA/FOSL2/SCFD1/TGFB2/PICK1/TXN2/MAP1LC3A/RGCC/HMOX2/TBL2/SLC1A1/SOD3/CPT1A/VEGFA/EPAS1/MYB/PGF/TGFB3/CAT/NDP/LIF/AJUBA/PARP2/EGLN3/PPARG/SLC2A8/CPEB2/CYP1A1/TP53/COL6A1/CCNA2/NR4A2/LMNA/ADORA1/CLDN3/AQP3/DDIT4/UCP2/MTHFR/P4HB/LONP1/CD24",42
"GO:0048841","BP","GO:0048841","regulation of axon extension involved in axon guidance","10/1285","34/18888",5.94842852517911e-05,0.037756356842258,0.0354224640284157,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/VEGFA/SEMA6C/SEMA3D/SEMA3E/SEMA4B",10
"GO:0048843","BP","GO:0048843","negative regulation of axon extension involved in axon guidance","9/1285","28/18888",6.42117483127897e-05,0.037756356842258,0.0354224640284157,"SEMA3F/SEMA3G/SEMA3B/SEMA3A/SEMA3C/SEMA6C/SEMA3D/SEMA3E/SEMA4B",9
"GO:0007051","BP","GO:0007051","spindle organization","29/1285","197/18888",6.86989701033817e-05,0.037756356842258,0.0354224640284157,"TACC3/ASPM/EML1/MAPRE3/KIZ/HAUS4/EFHC1/MISP/SUN2/MYH9/MYBL2/CEP126/NEK2/GPSM2/SBDS/DLGAP5/GNAI1/KNSTRN/ESPL1/NUMA1/SPC25/CCNB2/PCNT/CHMP4C/CKAP5/TUBB/MAP10/HAUS3/UHRF1",29
"GO:0030224","BP","GO:0030224","monocyte differentiation","10/1285","35/18888",7.82335077234614e-05,0.037756356842258,0.0354224640284157,"MYH9/VEGFA/BMP4/PPARG/CSF2/CTNNBIP1/CSF1R/CSF1/HLA-DRB1/INPP5D",10
