"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003179","BP","GO:0003179","heart valve morphogenesis","22/1665","61/18888",4.12904707539781e-09,1.01423989211018e-05,8.57429061504661e-06,"SNAI2/TIE1/ROCK1/MEF2C/JAG1/TGFB1/SOX9/BMP2/DLL4/ROCK2/CDH11/SMAD4/SLIT2/NOTCH1/TGFBR2/ADAMTS9/TBX20/DCHS1/EFNA1/ROBO1/SMAD2/ROBO2",22
"GO:0003180","BP","GO:0003180","aortic valve morphogenesis","17/1665","38/18888",5.15791476597929e-09,1.01423989211018e-05,8.57429061504661e-06,"SNAI2/TIE1/ROCK1/JAG1/TGFB1/SOX9/DLL4/ROCK2/CDH11/SLIT2/NOTCH1/TGFBR2/TBX20/EFNA1/ROBO1/SMAD2/ROBO2",17
"GO:0003176","BP","GO:0003176","aortic valve development","18/1665","43/18888",6.7177250170725e-09,1.01423989211018e-05,8.57429061504661e-06,"SNAI2/TIE1/ROCK1/JAG1/TGFB1/SOX9/BMP2/DLL4/ROCK2/CDH11/SLIT2/NOTCH1/TGFBR2/TBX20/EFNA1/ROBO1/SMAD2/ROBO2",18
"GO:0003170","BP","GO:0003170","heart valve development","24/1665","73/18888",6.95757085995668e-09,1.01423989211018e-05,8.57429061504661e-06,"SNAI2/TIE1/ROCK1/MEF2C/JAG1/TGFB1/DKK1/SOX9/BMP2/DLL4/ROCK2/CDH11/SMAD4/SLIT2/NOTCH1/TGFBR2/ADAMTS9/TBX20/DCHS1/SHOX2/EFNA1/ROBO1/SMAD2/ROBO2",24
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","69/1665","385/18888",9.24941718016393e-09,1.07866703155072e-05,9.11895171678057e-06,"TENM1/TMSB10/CAPG/EPHA3/DSG2/GPM6B/ARHGEF5/CYFIP2/CTNNA2/ROCK1/PFN2/CELSR1/EDN1/PXN/SLC9A1/DSP/SH3BP1/CORO2B/ARHGEF18/PIK3R2/TESK1/CSF3/ARPC3/NEDD9/SEMA5A/IL1A/RGS4/WASHC3/NCKAP1L/LRP1/FGF13/BST2/HIP1R/WASF3/ROCK2/FHOD3/WASHC4/SPTBN5/HCN4/RHOF/FRMD6/TPM1/SMAD4/ARHGEF19/SLIT2/EPHA5/ARHGAP18/C9orf72/ADD3/CYRIB/NCK1/RHPN1/TMSB15B/F11R/STC1/SHANK1/CDC42EP5/PRKCE/PTGER4/SYNPO/ATP2A2/HCLS1/KIRREL1/SCN5A/ATP2A1/SIGLEC15/RYR2/TWF2/ASAP3",69
"GO:0048754","BP","GO:0048754","branching morphogenesis of an epithelial tube","37/1665","157/18888",2.2330263509751e-08,2.11868756623506e-05,1.7911189509209e-05,"TIE1/GLI2/CELSR1/EDN1/LAMA1/ESRP2/CTSH/ENG/AREG/FGF1/WNT5A/MSX2/SOX9/BMP2/SIX1/KDR/DLL4/FOXA1/MYC/DDR1/LEF1/SMAD4/SLIT2/NOTCH1/DLG5/TGFBR2/HHIP/TBX20/DCHS1/AR/BCL2/MAGED1/EXT1/NOG/PBX1/PPP3R1/NFATC4",37
"GO:0001763","BP","GO:0001763","morphogenesis of a branching structure","44/1665","206/18888",2.62094131961344e-08,2.11868756623506e-05,1.7911189509209e-05,"SNAI2/TIE1/GLI2/CELSR1/EDN1/TMED2/LAMA1/ESRP2/CTSH/ENG/AREG/FGF1/WNT5A/BCL11A/MSX2/SOX9/BMP2/SIX1/KDR/DLL4/FOXA1/FGF13/EPHA7/MYC/DDR1/LEF1/SMAD4/SLIT2/NOTCH1/ADM/DLG5/TGFBR2/HHIP/TBX20/DCHS1/SHOX2/AR/BCL2/MAGED1/EXT1/NOG/PBX1/PPP3R1/NFATC4",44
"GO:1905314","BP","GO:1905314","semi-lunar valve development","18/1665","47/18888",3.57990351217467e-08,2.11868756623506e-05,1.7911189509209e-05,"SNAI2/TIE1/ROCK1/JAG1/TGFB1/SOX9/BMP2/DLL4/ROCK2/CDH11/SLIT2/NOTCH1/TGFBR2/TBX20/EFNA1/ROBO1/SMAD2/ROBO2",18
"GO:0007409","BP","GO:0007409","axonogenesis","76/1665","455/18888",3.82563527241545e-08,2.11868756623506e-05,1.7911189509209e-05,"FYN/LYPLA2/RUFY3/CNTN1/NRXN3/EPHA3/CYFIP2/CTNNA2/NEO1/GLI2/PLXNA2/MAP2/EDN1/GSK3B/RAB10/IGSF9/EFNB1/COBL/PTPRZ1/CNTNAP1/PTK7/SEMA5A/WNT5A/SOS1/NRP2/KLF7/B4GALT6/FLRT3/FEZF1/FGF13/MAP1S/ATP8A2/DCLK1/EPHB2/LRP4/EPHA7/SKIL/CDH11/AFG3L2/SMAD4/CRABP2/SLIT2/EPHA5/C9orf72/NOTCH1/CNTN5/ANK3/ADAM17/ROBO4/NPR2/KALRN/DISC1/RYK/DRGX/MAP1A/SHOX2/EFNA1/PTK2/ROBO1/FEZ2/MAP6/DSCAM/BCL2/PTPRM/SLITRK1/CDH4/PTPN11/NRXN1/EXT1/NOG/ROBO2/ZDHHC17/SHTN1/RELN/L1CAM/TWF2",76
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","64/1665","359/18888",3.90217420281564e-08,2.11868756623506e-05,1.7911189509209e-05,"EPHA3/GPM6B/NEXMIF/COL17A1/ROCK1/TESK2/ST6GAL1/CAMSAP3/GSK3B/PXN/SLC9A1/LAMB1/ITGA6/CCDC80/SORBS1/FERMT1/JAG1/MSLN/CORO2B/CDK6/SERPINE1/AGR2/TESK1/SPOCK2/LPXN/CORO1C/GCNT2/NEDD9/PPARD/ONECUT2/PLAU/KDR/ACTN4/ROCK2/DDR1/RAB1A/PPFIA2/CDH11/COL8A1/NOTCH1/ADAMTS12/SPOCK1/UTRN/MERTK/ABI3BP/ANGPT1/EDA/DISC1/ADAMTS9/EFNA1/PTK2/PLEKHA2/ANTXR1/HAS2/PRKCE/BCL2/HPSE/PEAK1/ANXA2/GAS6/BCR/ITGBL1/L1CAM/SRCIN1",64
