"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",585.461020718691,-0.728780012511104,0.120330010450301,-6.05651083868313,1.39105771960749e-09,1.17424781085983e-08
"TNMD",0.361110584637562,-2.03977528779318,4.03444934503584,-0.505589515035803,0.613144843639775,NA
"DPM1",1675.08560557823,-0.215682784979238,0.0855926536844654,-2.51987496233433,0.0117396528684945,0.0332084981754048
"SCYL3",392.115301760754,0.00190288100332473,0.188335253663896,0.0101036899162842,0.991938558966987,0.995336578580919
"FIRRM",1548.99628950812,0.394939779931178,0.105182233306139,3.75481454916137,0.000173469870450797,0.00073837078546204
"FGR",0,NA,NA,NA,NA,NA
"CFH",600.6331729024,0.131248769472287,0.150346455519586,0.872975481987263,0.382676441698717,0.552625922954066
"FUCA2",2495.76252390588,0.620090954920388,0.0731038865865625,8.48232541215352,2.20737176794086e-17,3.45129440852729e-16
"GCLC",772.434131498933,0.780394029438367,0.155892805047138,5.00596566469117,5.5582665096034e-07,3.45670679073884e-06
"NFYA",3055.35122130559,-0.615647758263244,0.0864511154121448,-7.12133967651222,1.06883013743943e-12,1.17698556801366e-11
"STPG1",520.939664387486,-0.400795402600613,0.133581451393959,-3.00038215199941,0.00269641072482077,0.00902586102363855
"NIPAL3",3507.22239986748,-0.598114403969007,0.0722037913842884,-8.28369802335833,1.19408162306751e-16,1.77546400384192e-15
"LAS1L",1451.97508628131,-0.183652810326935,0.0912653343869517,-2.01229537546287,0.0441888096413167,0.103136564335477
"ENPP4",1147.88493052573,0.673968287290522,0.0915382388649625,7.36269667897765,1.80231592178926e-13,2.10330028721422e-12
"SEMA3F",138.556071500411,0.663535430661992,0.237618372724912,2.79244160732537,0.00523119083728528,0.0162751246176826
"CFTR",0.541665876956343,-2.62641370384114,3.99224547297695,-0.657878810714179,0.510616007338905,NA
"ANKIB1",3199.08327044523,-0.133338633177974,0.138132105003973,-0.965297916614962,0.334395615015135,0.502565669051735
"CYP51A1",2763.75238986127,0.196978288767846,0.069949066045842,2.81602457191857,0.00486219477508431,0.0152322768577731
"KRIT1",777.713175185251,-0.290370723039339,0.183494146250697,-1.58245224151523,0.113546366729012,0.220892096442021
"RAD52",364.293010297635,-0.108417458334189,0.223720357779316,-0.48461150076085,0.627951954059479,0.768528391242767
"MYH16",2.22798158047182,-1.84854973894459,1.99071069117689,-0.928587839075571,0.35310272656294,0.522647818128769
"BAD",909.207911125248,0.281551306729951,0.1607190356059,1.75182302250957,0.0798042441659421,0.167770286030674
"LAP3",2808.51656426666,0.583531797360762,0.0822683439319369,7.09302958430202,1.31207393878569e-12,1.43227947044463e-11
"CD99",1461.39990413699,0.272792057021351,0.121159855433691,2.25150530301388,0.0243535513965402,0.0624472812655668
"HS3ST1",238.585255838464,-0.338042992812702,0.287001883179566,-1.17784242064085,0.238859433464467,0.392405547124509
"AOC1",0.169118684444047,-1.10607685769562,4.0804728567969,-0.271065853520681,0.78634038363246,NA
"WNT16",0,NA,NA,NA,NA,NA
"HECW1",160.701010113202,3.41451024970841,0.385719611392022,8.85231175408943,8.57248454750634e-19,1.47997461613383e-17
"MAD1L1",1004.43495405237,0.410133132969802,0.148604530010131,2.75989657207517,0.00578196635450332,0.017777826920993
"LASP1",25065.7296785781,-0.0241262492006751,0.0502036002471304,-0.48056810830124,0.630823486166149,0.770659231010001
"SNX11",916.345135743153,-0.29876229169653,0.135468795284976,-2.20539564899832,0.0274263431018615,0.0691725563907011
"TMEM176A",0.417861002220201,-0.767138398253351,4.07604372823014,-0.18820661636681,0.850714686062179,NA
"M6PR",3701.4924479792,0.0147234965287807,0.0662650938123917,0.222190835049076,0.82416532838541,0.900734136333162
"KLHL13",51.4543378443254,0.661587630407889,0.364247065808393,1.81631560693452,0.0693219725265037,0.149727622852808
"CYP26B1",491.784831725611,-1.21009585641584,0.177657867203097,-6.81138344992327,9.66645947934779e-12,9.84287516509486e-11
"ICA1",149.651072182929,-0.307422176468837,0.294409631035157,-1.04419877633733,0.296393432993813,0.461726895827222
"DBNDD1",171.918958563151,0.454206261018718,0.223410465981356,2.03305722058976,0.0420467423312326,0.0989914931642884
"ALS2",1615.05366034449,0.225689203812201,0.082117514328177,2.74836867212334,0.0059892622707338,0.0183413982241064
"CASP10",180.255359018097,-0.699744600813371,0.22620963913405,-3.09334563943453,0.00197913481878516,0.00682292947040981
"CFLAR",3475.60631852319,-0.0570243750090963,0.0965110447393226,-0.590858540212883,0.554615207308516,0.710397366696828
"TFPI",3227.08300801558,0.0990112631647774,0.0931996505852772,1.06235659192931,0.288073832057896,0.452044428430135
"NDUFAF7",300.258526134876,-0.413669436798076,0.208591988655469,-1.98315112418499,0.0473505514509939,0.109124828448888
"RBM5",3042.88537659854,0.234827064270472,0.0779489988877072,3.01257319043651,0.00259042961801106,0.00870992931634672
