##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	MLH1KO-1_S1_L002_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65245604
Total Bases	9.8 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.92764153122101	40.0	40.0	40.0	40.0	40.0
2	39.421200852091125	40.0	40.0	40.0	40.0	40.0
3	39.43700439956077	40.0	40.0	40.0	40.0	40.0
4	39.426735018040446	40.0	40.0	40.0	40.0	40.0
5	39.36635571647095	40.0	40.0	40.0	40.0	40.0
6	39.356852976638855	40.0	40.0	40.0	40.0	40.0
7	39.34477102855849	40.0	40.0	40.0	40.0	40.0
8	39.3666283478654	40.0	40.0	40.0	40.0	40.0
9	39.36983003483269	40.0	40.0	40.0	40.0	40.0
10-14	39.42457693854747	40.0	40.0	40.0	40.0	40.0
15-19	39.57904430159003	40.0	40.0	40.0	40.0	40.0
20-24	39.582187808392426	40.0	40.0	40.0	40.0	40.0
25-29	39.4085941115665	40.0	40.0	40.0	40.0	40.0
30-34	39.35678903363359	40.0	40.0	40.0	40.0	40.0
35-39	39.37310213267395	40.0	40.0	40.0	40.0	40.0
40-44	39.31416089887067	40.0	40.0	40.0	40.0	40.0
45-49	39.30672463389258	40.0	40.0	40.0	40.0	40.0
50-54	39.297447153681034	40.0	40.0	40.0	40.0	40.0
55-59	39.27826847001064	40.0	40.0	40.0	40.0	40.0
60-64	39.29061413547494	40.0	40.0	40.0	40.0	40.0
65-69	39.269008670683775	40.0	40.0	40.0	40.0	40.0
70-74	39.2711204512721	40.0	40.0	40.0	40.0	40.0
75-79	39.26903513683466	40.0	40.0	40.0	40.0	40.0
80-84	39.25018104208216	40.0	40.0	40.0	40.0	40.0
85-89	39.22067623743662	40.0	40.0	40.0	40.0	40.0
90-94	39.19568145004835	40.0	40.0	40.0	40.0	40.0
95-99	39.16460874820011	40.0	40.0	40.0	40.0	40.0
100-104	39.12900728147141	40.0	40.0	40.0	40.0	40.0
105-109	39.1059819876907	40.0	40.0	40.0	40.0	40.0
110-114	39.08222592896833	40.0	40.0	40.0	40.0	40.0
115-119	39.05172290228167	40.0	40.0	40.0	40.0	40.0
120-124	39.0215959438432	40.0	40.0	40.0	40.0	40.0
125-129	38.985793513383676	40.0	40.0	40.0	40.0	40.0
130-134	38.93541310154781	40.0	40.0	40.0	40.0	40.0
135-139	38.89078231845321	40.0	40.0	40.0	40.0	40.0
140-144	38.83207332098574	40.0	40.0	40.0	40.0	40.0
145-149	38.751844541128015	40.0	40.0	40.0	40.0	40.0
150-151	38.52432844364503	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.01867397655827574
1101	2	-0.034159803315937154
1101	3	0.0036814098074557933
1101	4	-0.6160625621211793
1101	5	-0.707646637509221
1101	6	-0.1682806447751659
1101	7	-0.35701894167341663
1101	8	-1.0252745218888677
1101	9	-0.8397890710005811
1101	10-14	-0.9026986561726034
1101	15-19	-0.4154353071696235
1101	20-24	-0.30032120494831815
1101	25-29	-0.5457658124353273
1101	30-34	-0.30616843200989763
1101	35-39	-0.4504012392702279
1101	40-44	-0.41388729012611236
1101	45-49	-0.452574447414257
1101	50-54	-0.3266691863952147
1101	55-59	-0.4269697862508366
1101	60-64	-0.22860942530898143
1101	65-69	-0.22821244650064187
1101	70-74	-0.2119446929908051
1101	75-79	-0.2772268602868877
1101	80-84	-0.41014679617433103
1101	85-89	-0.34864705161161424
1101	90-94	-0.3347108571162849
1101	95-99	-0.31228035198812876
1101	100-104	-0.3054975424876929
1101	105-109	-0.5149093123094133
1101	110-114	-0.42446175986194135
1101	115-119	-0.2048600896531525
1101	120-124	-0.48510174644741966
1101	125-129	-0.1273385103800564
1101	130-134	-0.06602539304083166
1101	135-139	-0.052007736194063625
1101	140-144	-0.09418715783891685
1101	145-149	-0.10746706013261331
1101	150-151	0.053140460745758844
1102	1	-0.2290938432619143
1102	2	-0.17955105412810468
1102	3	-0.1393360746622605
1102	4	-0.12394182646934127
1102	5	-0.1189411523695938
1102	6	0.05135061343628422
1102	7	0.029829661644562577
1102	8	0.04567769124036403
1102	9	0.07595084644270855
1102	10-14	-0.01472400261300777
1102	15-19	-0.02974292027658265
1102	20-24	-0.03742522615772259
1102	25-29	-0.0719927172282766
1102	30-34	-0.0884900668213362
1102	35-39	-0.10705862140937228
1102	40-44	-0.07407342784608062
1102	45-49	-0.10233001607200265
1102	50-54	-0.11323570473485489
1102	55-59	-0.09471965604795685
1102	60-64	-0.12055740538735193
1102	65-69	-0.11352291032968509
1102	70-74	-0.11318363793719044
1102	75-79	-0.11887225652717603
1102	80-84	-0.13714927641525776
1102	85-89	-0.12934371702601766
1102	90-94	-0.09829542643371525
1102	95-99	-0.09828407611180978
1102	100-104	-0.11097187318417667
1102	105-109	-0.10082821200619208
1102	110-114	-0.0917278856342989
1102	115-119	-0.08014344460811174
1102	120-124	-0.09810346512219326
1102	125-129	-0.07340450065809989
1102	130-134	-0.03864872101125627
1102	135-139	-0.006386391131059099
1102	140-144	0.02844004061333294
1102	145-149	0.11189585758998533
1102	150-151	0.13180812496438676
1103	1	-0.3347829869825958
1103	2	-0.14262814051075168
1103	3	-0.04946581580335163
1103	4	-0.16746604874353466
1103	5	-0.14251291987888237
1103	6	0.026009823757554784
1103	7	0.0409282009144718
1103	8	0.06604935952415047
1103	9	0.08377816465084464
1103	10-14	0.03577101406244765
1103	15-19	-0.013361055553374968
1103	20-24	-5.221647618256497E-4
1103	25-29	-0.03609011577595567
