"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",585.461020718691,-0.728780012511104,0.120330010450301,-6.05651083868313,1.39105771960749e-09,1.17424781085983e-08
"TNMD",0.361110584637562,-2.03977528779318,4.03444934503584,-0.505589515035803,0.613144843639775,NA
"DPM1",1675.08560557823,-0.215682784979238,0.0855926536844654,-2.51987496233433,0.0117396528684945,0.0332084981754048
"SCYL3",392.115301760754,0.00190288100332739,0.188335253663893,0.0101036899162984,0.991938558966976,0.995336578580908
"FIRRM",1548.99628950812,0.394939779931178,0.105182233306139,3.75481454916137,0.000173469870450797,0.00073837078546204
"FGR",0,NA,NA,NA,NA,NA
"CFH",600.6331729024,0.131248769472287,0.150346455519586,0.872975481987263,0.382676441698717,0.552625922954068
"FUCA2",2495.76252390588,0.62009095492039,0.0731038865865628,8.48232541215352,2.20737176794103e-17,3.45129440853061e-16
"GCLC",772.434131498933,0.780394029438365,0.155892805047137,5.00596566469119,5.55826650960301e-07,3.4567067907386e-06
"NFYA",3055.35122130559,-0.615647758263243,0.0864511154121491,-7.12133967651185,1.06883013744225e-12,1.17698556801677e-11
"STPG1",520.939664387486,-0.400795402600613,0.133581451393959,-3.00038215199941,0.00269641072482077,0.00902586102364587
"NIPAL3",3507.22239986748,-0.598114403969004,0.0722037913842887,-8.28369802335826,1.19408162306828e-16,1.77546400384306e-15
"LAS1L",1451.97508628131,-0.183652810326935,0.0912653343869517,-2.01229537546287,0.0441888096413167,0.103136564335477
"ENPP4",1147.88493052573,0.673968287290522,0.0915382388649625,7.36269667897765,1.80231592178926e-13,2.10330028721422e-12
"SEMA3F",138.556071500411,0.663535430661991,0.237618372724912,2.79244160732537,0.00523119083728535,0.0162751246176828
"CFTR",0.541665876956343,-2.62641370384114,3.99224547297695,-0.657878810714179,0.510616007338905,NA
"ANKIB1",3199.08327044523,-0.133338633177969,0.138132105003971,-0.965297916614934,0.334395615015149,0.502565669051756
"CYP51A1",2763.75238986127,0.19697828876785,0.0699490660458441,2.81602457191854,0.00486219477508474,0.0152322768577744
"KRIT1",777.713175185251,-0.290370723039339,0.183494146250697,-1.58245224151523,0.113546366729012,0.220892096442027
"RAD52",364.293010297635,-0.108417458334189,0.223720357779316,-0.48461150076085,0.627951954059479,0.768528391242495
"MYH16",2.22798158047182,-1.84854973894459,1.99071069117689,-0.92858783907557,0.35310272656294,0.52264781812877
"BAD",909.207911125248,0.281551306729951,0.1607190356059,1.75182302250957,0.0798042441659421,0.167770286030674
"LAP3",2808.51656426666,0.583531797360761,0.0822683439319389,7.09302958430184,1.31207393878732e-12,1.43227947044641e-11
"CD99",1461.39990413699,0.272792057021351,0.121159855433691,2.25150530301388,0.0243535513965402,0.0624472812655668
"HS3ST1",238.585255838464,-0.338042992812702,0.287001883179565,-1.17784242064085,0.238859433464465,0.392405547124506
"AOC1",0.169118684444047,-1.10607685769562,4.0804728567969,-0.271065853520681,0.78634038363246,NA
"WNT16",0,NA,NA,NA,NA,NA
"HECW1",160.701010113202,3.41451024970841,0.385719611392022,8.85231175408943,8.57248454750661e-19,1.47997461613388e-17
"MAD1L1",1004.43495405237,0.410133132969802,0.148604530010131,2.75989657207517,0.00578196635450332,0.017777826920993
"LASP1",25065.7296785781,-0.0241262492006738,0.0502036002471144,-0.480568108301367,0.630823486166058,0.770659231010001
"SNX11",916.345135743153,-0.29876229169653,0.135468795284976,-2.20539564899832,0.0274263431018615,0.0691725563907011
"TMEM176A",0.417861002220201,-0.767138398253351,4.07604372823014,-0.18820661636681,0.850714686062179,NA
"M6PR",3701.4924479792,0.0147234965287825,0.0662650938123766,0.222190835049154,0.824165328385349,0.900734136333096
"KLHL13",51.4543378443254,0.661587630407892,0.364247065808393,1.81631560693453,0.0693219725265027,0.149727622852806
"CYP26B1",491.784831725611,-1.21009585641584,0.177657867203097,-6.81138344992327,9.66645947934779e-12,9.84287516509486e-11
"ICA1",149.651072182929,-0.307422176468837,0.294409631035156,-1.04419877633734,0.296393432993811,0.461726895827226
"DBNDD1",171.918958563151,0.454206261018717,0.223410465981355,2.03305722058976,0.0420467423312325,0.0989914931642881
"ALS2",1615.05366034449,0.225689203812204,0.0821175143281753,2.74836867212343,0.00598926227073223,0.0183413982241016
"CASP10",180.255359018097,-0.699744600813371,0.22620963913405,-3.09334563943453,0.00197913481878516,0.00682292947040981
"CFLAR",3475.60631852319,-0.0570243750090965,0.0965110447393251,-0.590858540212868,0.554615207308526,0.71039736669684
"TFPI",3227.08300801558,0.0990112631647816,0.0931996505852973,1.06235659192912,0.288073832057979,0.452044428430267
"NDUFAF7",300.258526134876,-0.413669436798076,0.208591988655469,-1.98315112418499,0.0473505514509939,0.109124828448888
"RBM5",3042.88537659854,0.234827064270475,0.0779489988877089,3.01257319043648,0.00259042961801137,0.00870992931634778
