"","X","seqnames","start","end","width","strand","Conc","Conc_R4","Conc_KO","Fold","p.value","FDR"
"1",1,"chr4",1508870,1509852,983,"*",3.54524364868742,4.4302702517154,0.838744321388147,1.61292226487441,0.000923906337692626,0.640969692399615
"2",2,"chr17",31596543,31597043,501,"*",3.43119491458943,4.33130711452292,0.529225087161865,1.57779861205554,0.00107478912289042,0.640969692399615
"3",3,"chr9",129280638,129281138,501,"*",3.42047773249635,4.28553849927349,0.935149363631797,1.4535262886499,0.0026980314279599,0.640969692399615
"4",4,"chr8",143267555,143268055,501,"*",3.19447201423916,4.08129947422901,0.466085115263078,1.35446439827549,0.00435691007442019,0.640969692399615
"5",5,"chr1",156808712,156809212,501,"*",2.98926137574105,3.88591910045107,0.134634749851394,1.289261902705,0.00557819385966645,0.640969692399615
"6",6,"chr1",144104349,144104849,501,"*",5.29496315439192,5.84977544469809,4.3818080733999,1.1339795266192,0.00582351130459218,0.640969692399615
"7",7,"chr1",15524014,15524514,501,"*",3.07512939397431,3.94599476829418,0.529225087161865,1.30366591788617,0.00615478641014534,0.640969692399615
"8",8,"chr14",65411579,65412079,501,"*",2.09589535255263,3.09589535255263,0,0.990662701775758,0.00654347426251086,0.640969692399615
"9",9,"chr14",67241513,67242013,501,"*",3.17303854770789,4.01138829037585,0.935149363631797,1.30239813421566,0.00699610817765021,0.640969692399615
"10",10,"chr14",103724106,103724606,501,"*",2.79418214246741,3.72050551212294,0,1.18656165308072,0.00714132302505979,0.640969692399615
"11",11,"chr10",70911562,70912062,501,"*",3.01035658739787,3.90261955318744,0.213643074210606,1.2404931091803,0.00718126360878099,0.640969692399615
"12",12,"chr6",31589612,31590112,501,"*",3.02578041814785,3.88591910045107,0.589717199143686,1.23933042772187,0.00889388147379165,0.640969692399615
"13",13,"chr2",26175448,26175948,501,"*",3.34733185034443,4.1549655942031,1.34537858745906,1.26823038672539,0.00920949411924844,0.640969692399615
"14",14,"chr1",40902193,40902693,501,"*",1.95402854947928,2.95402854947928,0,0.906167886337607,0.0106616311375633,0.640969692399615
"15",15,"chr19",1873201,1873701,501,"*",1.95402854947928,2.95402854947928,0,0.906167886337607,0.0106616311375633,0.640969692399615
"16",16,"chr18",60837672,60838172,501,"*",1.96996313419576,2.96996313419576,0,0.896709425079764,0.0110748663638969,0.640969692399615
"17",17,"chr20",31475447,31475947,501,"*",3.4164004087751,4.21171207502272,1.49800049107402,1.22641836113356,0.0118370240839362,0.640969692399615
"18",18,"chr2",200883566,200884066,501,"*",1.98572364215498,2.98572364215498,0,0.872270538197448,0.0123552964511369,0.640969692399615
"19",19,"chr20",38077281,38077781,501,"*",3.04635208822132,3.90261955318744,0.647774624620402,1.17148386368216,0.012426446016224,0.640969692399615
"20",20,"chr20",61053149,61053649,501,"*",2.96105079308628,3.81443420048649,0.589717199143686,1.17184249160392,0.012741928535423,0.640969692399615
"21",21,"chr5",172284065,172284565,501,"*",3.09919666525846,3.94599476829418,0.788013210150441,1.17558643127807,0.0132221581932318,0.640969692399615
"22",22,"chr22",29307126,29307626,501,"*",2.61721555463852,3.53364016991008,0,1.07369048384162,0.0132790232199025,0.640969692399615
"23",23,"chr11",2845571,2846071,501,"*",3.13813981681681,3.94599476829418,1.13463474985139,1.19081604329604,0.0138068465102392,0.640969692399615
